Unnamed: 0,Industries of interest,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
24,"3. Oil and gas extraction EAD includes lending (e.g. revolving/term lending and guarantees) and other markets-related exposures (e.g. derivatives, foreign exchange, repurchase agreements).",,,,,,,,,
25,4. Thermal coal exposures includes direct exposure (including lending and guarantees) to customers whose primary activity is thermal coal mining. Includes performance guarantees for the rehabilitation of existing coal mining assets. Excludes metallurgical coal mining and diversified mining customers.,,,,,,,,,
46,"Electricity generation Exposure at Default by fuel source ($bn)1,2",Sep 23,Mar 234,Sep 22,Mar 22,,,,,
47,,Post3,,Pre revised capital framework,,,,,,
48,Wind,2.17,1.77,1.54,2.05,,,,,
49,Hydro,0.5,0.49,0.69,0.63,,,,,
50,Other/Mixed Renewable,2.75,2.89,3.13,2.95,,,,,
51,Mixed Fuel,1.49,1.65,1.3,1.23,,,,,
52,Coal,0,0,0,0,,,,,
53,Gas,0.48,0.54,0.7,0.68,,,,,
54,Total,7.39,7.35,7.36,7.54,,,,,
55,"Electricity generation Exposure at Default by fuel source (%)1,2",Sep 23,Mar 234,Sep 22,Mar 22,,,,,
56,,Post3,,Pre revised capital framework,,,,,,
57,Wind,0.29,0.24,0.21,0.27,,,,,
58,Hydro,0.07,0.07,0.09,0.08,,,,,
59,Other/Mixed Renewable,0.37,0.39,0.43,0.39,,,,,
60,Mixed Fuel,0.2,0.22,0.18,0.16,,,,,
61,Coal,0,0,0,0,,,,,
62,Gas,0.06,0.07,0.1,0.09,,,,,
63,Total,1,1,1,1,,,,,
64,1. Numbers in table may not sum due to rounding.,,,,,,,,,
65,"2. NAB methodology (based upon the 1993 ANZSIC codes) at net EAD basis. Excludes exposure to counterparties predominantly involved in transmission and distribution. Vertically integrated retailers have been included and categorised as renewable where majority of their generation activities sourced from renewable energy. NAB has no direct lending to coal-fired power generation assets remaining, however there is indirect exposure to coal-fired power within the Mixed Fuel category as a result of NABÃ¢ÂÂs corporate level exposure to gentailers, which have a mix of generation assets (including coal, gas and renewables) within their generation portfolio.",,,,,,,,,
66,"3. From 1 January 2023, the revised capital framework has come into effect. The revised capital framework refers to revisions to APRA's capital adequacy and credit risk capital requirements for ADIs. The primary impact of this change on NAB's energy generation exposures is a reduction in EAD due to changes in the calculation of off-balance sheet EAD for certain undrawn commitments. For more information on the impact of the revised capital framework and impacts on NAB's reported EAD, see NAB's 2023 Pillar 3 report.",,,,,,,,,
67,4. March 2023 has been re-stated to amend a data error tha occurred during transfer from RCF reporting system.,,,,,,,,,
85,"Group agricultural, forestry and fishing exposures by region (%)",2023,,,,,,,,
86,Australia,0.73,,,,,,,,
87,New Zealand,0.27,,,,,,,,
94,"Australian agriculture, forestry & fishing exposures by sector (%)1",2023,,,,,,,,
95,Portfolio EAD $44.8bn September 2023,,,,,,,,,
96,Beef,0.23,,,,,,,,
97,Sheep/Beef,0.07,,,,,,,,
98,Sheep,0.03,,,,,,,,
99,Other Livestock,0.02,,,,,,,,
100,Poultry,0.01,,,,,,,,
101,Mixed,0.25,,,,,,,,
102,Services,0.07,,,,,,,,
103,Forestry & Fishing,0.03,,,,,,,,
104,Dairy,0.04,,,,,,,,
105,Grain,0.1,,,,,,,,
106,Other Crop & Grain,0.07,,,,,,,,
107,Cotton,0.05,,,,,,,,
108,Vegetables,0.03,,,,,,,,
110,"New Zealand agricultural, forestry and fishing exposures by sector (%)1",2023,,,,,,,,
111,Portfolio EAD NZ$17.4bn September 2023,,,,,,,,,
112,Dairy,0.42,,,,,,,,
113,Drystock,0.21,,,,,,,,
114,Forestry,0.06,,,,,,,,
115,Kiwifruit,0.1,,,,,,,,
116,Other Agriculture,0.14,,,,,,,,
117,Services to Agriculture,0.07,,,,,,,,
118,"1. Based on ANZSIC Level 1 classifications of the counterparty to which the Group is exposed to credit risk, including guarantors and derivative counterparties.",,,,,,,,,
120,"Credit Risk Exposures by Industry\nThe Group's credit risk exposures by major industry type table are available in the Group's 2023 Pillar 3 report, available at https://www.nab.com.au/about-us/shareholder-centre/regulatory-disclosures. Industry classifications follow ANZSIC Level 1 classifications. Exposures are disclosed based on the counterparty to which the Group is exposed to credit risk, including guarantors and derivative counterparties.",,,,,,,,,
