Principles for Responsible Banking - self-assessment,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Fair and responsible financial products and services,," - 2023 Sustainability scorecard (p25)
 - Customers (p26-29)
 - Affordable and specialist housing (p29)
 - Investor Presentation - Commercial responses to societal challenges (p127)
 - Website - Financial services guide",link,,
"Accessible products, services, technology and buildings",," - Accessibility (p27 & 33)
 - Website - Inclusion and diversity at NAB
 - Website - Accessibility action plan",link,link,
Corruption and bribery,," - Financial crime (p46)
 - Anti-bribery and corruption policy (p82)
 - Website - Managing financial crime",link,,
"Privacy, information security and data protection",," - 2023 Sustainability scorecard (p25)
 - Technology, data and security (p43-46)
 - Website - Privacy policy
 - Website - Privacy and your personal information
 - Website - Safely storing your data",link,link,link
"Freedom from forced labour, slavery and servitude and child labour (inc. modern slavery)",," - Respecting human rights (p50-52)
 - Website - Human rights approach
 - Website - Modern slavery and human trafficking statement",link,link,link
Indigenous rights and inclusion,," - Inclusive banking (p27)
 - Helping First Nations businesses prosper (p28)
 - BNZ's Māori strategy (p28)
 - Indigenous Australian inclusion (p33)
 - Diversity in supply chain (p34)
 - Website - Indigenous Australian Support
 - Website - NABs Reconciliation Plan
 - Investor Presentation - Commercial responses to societal challenges (p127)",link,link,link
Improper land acquisition/land grabbing,," - Respecting human rights (p50)
 - Website - Human rights approach",link,,
"Data ethics, AI and human rights",," - Resilient technology and operations (p16)
 - Privacy management and data ethics (p45)
 - Respecting human rights (p50)
 - Website - Data ethics
 - Website - Human rights approach",link,link,
,,,,,
United Nations Guiding Principles for business and human rights - cross reference,,,,,
Section of the Framework,,Reference to Annual Report (unless otherwise stated),Reference 1,Reference 2,Reference 3
Policy commitment,," - Website - Human rights approach
 - Website - Human Rights Policy",link,link,
Embedding Respect,," - Website - Human rights approach
 - Website - Human Rights Policy
 - Website - National Australia Bank Ltd Code of Conduct",link,link,link
Statement of salient issues,, - Refer table above,,,
Explanation of salient issues,," - Website - Human rights approach
 - Website - Human Rights Policy",link,link,
Geographical focus (if any),, - N/A,,,
Additional severe impacts (if any),, - N/A,,,
Specific Policies,," - Website - Human rights approach
 - Website - Human Rights Policy",link,link,
Stakeholder Engagement,," - Stakeholder engagement (p21)
 - Website - Stakeholder engagement",link,,
Assessing impacts,," - Respecting human rights (p50-52)
 - Website - Human rights approach
 - Website - Human Rights Due Diligence process",link,link,
Integrating Findings and Taking Action,," - Website - Human rights approach
 - Website - Human Rights Due Diligence process
 - Website - Human Rights Grievance Process",link,link,link
Tracking Performance,," - Respecting human rights (p50-52)
 - Website - Human rights approach",link,,
Remediation,," - Website - Human Rights Policy
 - Website - Human Rights Grievance Process",link,link,
,,,,,
United Nations Global Compact Principles - cross reference,,,,,
UN Global Compact Principles,,Reference to Annual Report (unless otherwise stated),Reference 1,Reference 2,Reference 3
Human Rights,"Principle 1
Businesses should support and respect the protection of internationally proclaimed human rights; and"," - Respecting human rights (p50-52)
 - Environmental, Social and Governance (ESG) Risk Management (p53-55)
 - Investor Presentation - Sustainability is embedded in our Group Strategy (p119)
 - Website - Human rights approach",link,,
,"Principle 2
Make sure that they are not complicit in human rights abuses."," - Respecting human rights (p50-52)
 - Website - Human rights approach",link,link,
Labour,"Principle 3: 
Businesses should uphold the freedom of association and the effective recognition of the right to collective bargaining;"," - Enterprise Agreement (p36)
 - Human rights areas of focus (p51)
 - Investor Presentation - Focus on colleagues (p11)",,,
,"Principle 4:
The elimination of all forms of forced and compulsory labour;"," - Respecting human rights (p50-52)
 - Website - Human rights approach
 - Website - Modern slavery and human trafficking statement",link,link,link
,"Principle 5: 
The effective abolition of child labour; and"," - Respecting human rights (p50-52)
 - Website - Human rights approach
 - Website - Modern slavery and human trafficking statement",link,link,link
,"Principle 6: 
The elimination of discrimination in respect of employment and occupation."," - Inclusion and Diversity (p32-34)
 - Progress against NAB's 2021-2025 Measurable Objectives (p35)
 - Sustainability Data Pack - Workforce tab
 - Website - Inclusion and diversity at NAB",link,,
Environment,"Principle 7:
Businesses should support a precautionary approach to environmental challenges;"," - Climate change and environment (p37-42)  
 - Environmental, Social and Governance (ESG) Risk Management (p53-55)
 - 2023 Climate Report
 - Investor Presentation - Sustainability is embedded in our Group Strategy (p119)
 - Website - Environmental approach",link,link,
,"Principle 8: 
Undertake initiatives to promote greater environmental responsibility; and"," - Climate change and environment (p37-42)  
 - 2023 Climate Report
 - Investor Presentation - FY23 progress against our climate strategy (p120)
 - Investor Presentation - Natural capital and biodiversity (p126)",link,link,
,"Principle 9:
Encourage the development and diffusion of environmentally friendly technologies."," - Climate change and environment (p37-42)  
  - 2023 Climate Report
 - Investor Presentation - FY23 progress against our climate strategy (p120)
 - Investor Presentation - Natural capital and biodiversity (p126)
 - Website - Environmental approach",link,link,
Anti-Corruption,"Principle 10:
Businesses should work against corruption in all its forms, including extortion and bribery."," - Technology, data and security (p43-46)
 - Anti-bribery and corruption policy (p82)
 - Website - Managing financial crime",link,,
,,,,,
UNITED NATIONS WOMEN'S EMPOWERMENT PRINCIPLES - CONTENT INDEX,,,,,
UN Women's Empowerment Principles,,Reference to Annual Report (unless otherwise stated),Reference 1,Reference 2,Reference 
Principle 1: Establish high-level corporate leadership for gender equality,," - Inclusion and diversity - Gender equality (p32)
 - Website - Gender equity
 - Website - Inclusion and diversity at NAB",link,link,
Principle 2: Treat all women and men fairly at work - respect and support human rights and non-discrimination,," - Inclusion and diversity - Gender equality (p32)
 - Website - Gender equity
 - Website - Inclusion and diversity at NAB
 - Website - National Australia Bank Ltd Code of Conduct",link,link,link
"Principle 3: Ensure the health, safety and well-being of all women and men workers",," - Health, safety and wellbeing (p36)
 - Website - Benefits of working at NAB
 - Website - Inclusion and diversity at NAB
 - Website - National Australia Bank Ltd Code of Conduct",link,link,link
"Principle 4: Promote education, training and professional development for women",," - Inclusion and diversity - Gender equality (p32)
 - Website - Gender equity
 - Website - Inclusion and diversity at NAB",link,link,
Principle 5: Implement enterprise development supply chain and marketing practices that empower women,," - Diversity in supply chain (p34)
 - Website - Managing our supply chain
 - Website - Inclusion and diversity at NAB",link,link,
Principle 6: Promote equality through community initiatives and advocacy,," - Inclusion and Diversity (p32-34)
 - Sustainability Data Pack- Investment tab
 - Website - NAB Foundation
 - Website - Inclusion and diversity at NAB",link,link,
Principle 7: Measure and publicly report on progress to achieve gender equality,," - Inclusion and diversity - Gender equality (p32)
 - Progress against NAB's 2021-2025 Measurable Objectives (p35)
 - Sustainability Data Pack - Workforce tab
 - Website - Gender equity
 - Website - Inclusion and diversity at NAB",link,link,
