Global Reporting Initiative (GRI) Standards index (GRI universal standards 2021),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Disclosure 403-9 Work-related injuries,Sustainability Data Pack - Culture,link,,,,
,Disclosure 403-10 Work-related ill health,Sustainability Data Pack - Culture,link,,,,
GRI 404: Training and Education 2016,Disclosure 404-1 Average hours of training per year per employee,Sustainability Data Pack - Training,link,,,,
,Disclosure 404-2 Programs for upgrading employee skills and transition assistance programs,Sustainability Data Pack - Training,link,,,,
,Disclosure 404-3 Percentage of employees receiving regular performance and career development reviews,"P&C,",link,,,,
GRI 405: Diversity and Equal Opportunity 2016,Disclosure 405-1 Diversity of governance bodies and employees,Inclusion and diversity (p32)\nSustainability Data Pack - Culture,link,,,,
,Disclosure 405-2 Ratio of basic salary and remuneration of women to men,Inclusion and diversity (p33)\nSustainability Data Pack - Remuneration,link,,,,
GRI 406: Non-discrimination 2016,Disclosure 406-1 Incidents of discrimination and corrective actions taken,Code of Conduct (p83 to 84)\nSustainability Data Pack - Culture,link,6,,,
GRI 407: Freedom of Association and Collective\nBargaining 2016,Disclosure 407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,Getting it right for colleagues (p37),link,3,,,
GRI 408: Child Labor 2016,Disclosure 408-1 Operations and suppliers at significant risk for incidents of child labor,2023 Modern Slavery Statement,link,5,,,
GRI 409: Forced or Compulsory Labor 2016,Disclosure 409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,2023 Modern Slavery Statement,link,4,,,
GRI 410: Security Practices 2016,Disclosure 410-1 Security personnel trained in human rights policies or procedures,2023 Modern Slavery Statement,link,12,,,
GRI 411: Rights of Indigenous Peoples 2016,Disclosure 411-1 Incidents of violations involving rights of indigenous peoples,2023 Modern Slavery Statement,link,,,,
GRI 413: Local Communities 2016,"Disclosure 413-1 Operations with local community engagement, impact assessments, and development programs",Helping our communities prosper (p46-48),link,,,,
,Disclosure 413-2 Operations with significant actual and potential negative impacts on local communities,Helping our communities prosper (p46-48),link,,,,
GRI 414: Supplier Social Assessment 2016,Disclosure 414-1 New suppliers that were screened using social criteria,Website - Human rights approach,link,12,,,
,Disclosure 414-2 Negative social impacts in the supply chain and actions taken,Website - Human rights approach,link,12,,,
GRI 415: Public Policy 2016,Disclosure 415-1 Political contributions,Website - Corporate Governance\nStakeholder engagement (p22),link,,,,
GRI 416: Customer Health and Safety 2016,Disclosure 416-1 Assessment of the health and safety impacts of product and service categories,"not physical products, about , property or P&C",link,,,,
,Disclosure 416-2 Incidents of non-compliance concerning the health and safety impacts of products and services,"branches,",link,,,,
GRI 417: Marketing and Labeling 2016,Disclosure 417-1 Requirements for product and service information and labeling,"N/A, marketing, products, Vannsa (group governance)",link,,,,
,Disclosure 417-2 Incidents of non-compliance concerning product and service information and labeling,"legal, Virgina Porter",link,,,,
,Disclosure 417-3 Incidents of non-compliance concerning marketing communications,"legal, Virgina Porter",link,,,,
GRI 418: Customer Privacy 2016,Disclosure 418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,Sustainability Data Pack - General,link,,,,
