Colleague engagement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
"2. The breaches have been categorised to align to the Code of Conduct pillars in 2022. This contributes to the increase in 'Customers and Communities' breaches, and subsequent decrease in 'Colleagues' breaches  (particularly driven by classification of  “Other Personal Conduct” breaches) in 2022 when compared with 2021.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Whistleblower disclosures,2023,2022,2021,2020,2019,,,,,,,,,
No. of disclosures received under the Whistleblower Policy,269,207,190,115,155,,,,,,,,,
,,,,,,,,,,,,,,
Turnover and retention,,,,,,,,,,,,,,
Colleague turnover rate1,2023,2022,2021,2020,2019,,,,,,,,,
Voluntary turnover rate,0.09,0.139,0.116,0.08,0.106,,,,,,,,,
Involuntary turnover rate,0.011,0.016,0.028,0.038,0.052,,,,,,,,,
Total turnover rate,0.101,0.155,0.144,0.118,0.158,,,,,,,,,
"1. Number of all colleagues who exited the bank each year (voluntarily, involuntarily, or total), as a percentage of the average permanent headcount for each respective year. Excludes NAB's Banking Services and Innovation Centres in India and Vietnam.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Colleague turnover rate by gender1,2023,,2022,,2021,,2020,,,,,,,
,Female,Male,Female,Male,Female,Male,Female,Male,,,,,,
Voluntary turnover rate,0.088,0.092,0.124,0.15,0.107,0.124,0.076,0.084,,,,,,
Involuntary turnover rate,0.008933717579250721,0.012683101107538406,0.012,0.018,0.028,0.029,0.039,0.037,,,,,,
Total turnover rate,0.097,0.105,0.136,0.168,0.135,0.153,0.114,0.121,,,,,,
"1. Number of all colleagues who exited the bank each year (voluntarily, involuntarily, or total), as a percentage of the average permanent headcount for each respective year by gender. Excludes NAB's Banking Services and Innovation Centres in India and Vietnam.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
High performer retention1,2023,2022,2021,2020,2019,,,,,,,,,
Australia,,,,,,,,,,,,,,
Retention of high performing colleagues,0.96,0.92,0.93,0.94,0.93,,,,,,,,,
Voluntary turnover of high performing colleagues,0.05,0.08,0.07,0.07,0.06,,,,,,,,,
New Zealand,,,,,,,,,,,,,,
Retention of high performing colleagues,0.93,0.92,0.91,0.94,0.89,,,,,,,,,
Voluntary turnover of high performing colleagues,0.08,0.09,0.09,0.06,0.1,,,,,,,,,
1. Refers to the percentage of total colleagues identified as ‘high performers’ in the previous performance year that remain employed at 30 September of the current performance year.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hiring1,2023,2022,2021,,,,,,,,,,,
Australia,,,,,,,,,,,,,,
Number of new hires2,3342,4291,4993,,,,,,,,,,,
% open positions filled by internal colleague movements3,0.75,0.74,0.73,,,,,,,,,,,
"1. Includes NAB Australian based permanent, fixed-term and casual colleagues. ",,,,,,,,,,,,,,
2. Consists of external appointments.,,,,,,,,,,,,,,
3. Movement includes promotions and transfers.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Parental leave-return to work rate (by gender)1,2023,,2022,,2021,,2020,,,,,,,
,Female,Male,Female,Male,Female,Male,Female,Male,,,,,,
Australia,,,,,,,,,,,,,,
Total number of colleagues entitled to parental leave2,14683,14682,14532,14370,14079,14081,14583,14909,,,,,,
Total number of colleagues who took parental leave,892,112,708,42,727,32,729,48,,,,,,
Total number of colleagues who returned to work after parental leave ended,833,107,655,39,606,30,628,43,,,,,,
Return to work rate (from extended leave which commenced with primary carer leave),0.934,0.955,0.925,0.9286,0.83,0.94,0.86,0.9,,,,,,
Total number of colleagues who returned to work after parental leave ended who were still employed twelve months after their return to work,555,32,510,29,547,35,539,37,,,,,,
Total number of colleagues who returned to work after parental leave ended who were still employed two years after their return to work,432,26,467,36,485,32,523,23,,,,,,
New Zealand,,,,,,,,,,,,,,
Total number of colleagues entitled to parental leave2,2691,2101,2427,1924,2354,1906,2385,1853,,,,,,
Total number of colleagues who took parental leave,297,109,274,120,239,119,238,79,,,,,,
Total number of colleagues who returned to work after parental leave ended,259,98,235,107,208,112,209,76,,,,,,
"Return to work rate (from primary carers leave, long service leave and parental leave)",0.872,0.899,0.858,0.892,0.87,0.94,0.88,0.96,,,,,,
Total number of colleagues who returned to work after parental leave ended who were still employed twelve months after their return to work,233,104,204,98,199,73,202,63,,,,,,
Total number of colleagues who returned to work after parental leave ended who were still employed two years after their return to work,202,99,201,71,203,62,190,55,,,,,,
1. Return to work rate measures the percentage of colleagues who have returned and remained working for a period of at least 30 days (in relevant reporting year). Includes colleagues taking extended leave that commenced with primary carers leave. Count of colleagues returning to work is also provided for extended time periods (i.e. colleagues that returned in prior periods and that remained at NAB after 1 or 2 years).,,,,,,,,,,,,,,
2. NAB and BNZ have colleagues who do not identify as either male or female.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Health, safety and wellbeing",,,,,,,,,,,,,,
Lost Time Injury Frequency Rate (LTIFR)1,2023,2022,2021,2020,2019,,,,,,,,,
Australia,0.39,0.49,0.65,0.42,0.68,,,,,,,,,
New Zealand,0.64,0.56,0.84,0.98,2.59,,,,,,,,,
"1. Lost time injuries are defined as a workplace injury resulting in a colleague being absent from work for at least one full shift, and for which the colleague receives workers compensation. LTIFR = Lost time injuries × 1,000,000 hours worked ÷ (average annual full-time equivalent colleagues, including casuals × 40-hour working week × 46 weeks per year). From 2019, a 37.5-hour working week is used in the calculation for New Zealand. Past results may have been revised upwards due to additional lost time injuries being recorded after the reporting period has ended. Current year results may also be revised as additional lost time injuries are recorded in our system. Any updates will be reflected in future reporting. Historical figures have been restated due to additional injuries being recorded for previously reported periods.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Absenteeism rate1,2023,2022,2021,2020,2019,,,,,,,,,
Australia,7.74,9.19,6.77,7.87,8.82,,,,,,,,,
New Zealand,7.49,7.07,5.61,4.83,6.57,,,,,,,,,
Total days lost due to work-related stress,,,,,,,,,,,,,,
Australia,5159,5131,3381,3019,3654,,,,,,,,,
"1. Absenteeism represents the total number of unscheduled absence days during the period divided by the average number of full time equivalent colleagues (excluding casual colleagues). Current year results may also be revised as additional absences are recorded in our system. Any updates will be reflected in future reporting. Pandemic leave is included in the absenteeism calculation, an increase in colleagues taking pandemic leave has contributed to the increase in absenteeism reported in 2022.",,,,,,,,,,,,,,
