Global Reporting Initiative (GRI) Standards index (GRI universal standards 2021),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Disclosure 201-3 Defined benefit plan obligations and other retirement plans,Remuneration Report (p115),link,,,,
GRI 203: Indirect Economic Impacts 2016,Disclosure 203-1 Infrastructure investments and services supported,Our business (p12),link,,,,
,Disclosure 203-2 Significant indirect economic impacts,Creating Value (p20),link,,,,
GRI 204: Procurement Practices 2016,Disclosure 204-1 Proportion of spending on local suppliers,Inclusion and diversity - Diversity in supply chain (p34)\nRespecting human rights (p50)\nSustainability Data Pack - Supply Chain\nClimate report: Decarbonising the Group's supply chain (p59),link,,,,
GRI 205: Anti-corruption 2016,Disclosure 205-1 Operations assessed for risks related to corruption,Risk factors - Compliance risk (p99),link,10,,,
,Disclosure 205-2 Communication and training about anti-corruption policies and procedures,How we work - Anti-bribery and corruption policy (p82),link,10,,,
,Disclosure 205-3 Confirmed incidents of corruption and actions taken,Risk factors - Compliance risk (p99),link,10,,,
GRI 206: Anti-competitive Behavior 2016,"Disclosure 206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",How we work - Anti-bribery and corruption policy (p82)\nRisk factors - Compliance risk (p99),link,10,,,
GRI 207: Tax 2019,Disclosure 207-1 Approach to tax,2023 Tax Transparency Report,link,,,,
,"Disclosure 207-2 Tax governance, control, and risk management",2023 Tax Transparency Report,link,,,,
,Disclosure 207-3 Stakeholder engagement and management of concerns related to tax,2023 Tax Transparency Report,link,,,,
,Disclosure 207-4 Country-by-country reporting,2023 Tax Transparency Report\n2023 NAB Group Entity Report,link,,,,
GRI 302: Energy 2016,Disclosure 302-1 Energy consumption within the organization,Sustainability Data Pack - Energy,link,78,,,
,Disclosure 302-2 Energy consumption outside of the organization,Sustainability Data Pack - Energy,link,78,,,
,Disclosure 302-3 Energy intensity,Climate report: SECR disclosure (p61),link,78,,,
,Disclosure 302-4 Reduction of energy consumption,Sustainability Data Pack - Energy,link,78,,,
