Unnamed: 0,Customers - Numbers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
42,"4. Sourced from DBM Consumer Atlas (part of RFI Global), measured on 6 month rolling average. Based on all consumers, 18+, in either High Net Worth definition or Mass Affluent definition and on equal (50:50) combined weighting of included segments. Mass Affluent includes consumers with Personal income of $260k+ and investible assets less than $2.5m and/or investible assets $1m<$2.5m, High Net Worth includes consumers with Investible assets of $2.5m+.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"5. Source: 1) Camorra Retail Market Monitor 1 October 2022 Ã¢ÂÂ 30 September 2023; 2) Kantar Business Finance Monitor 1 October 2022 Ã¢ÂÂ 30 September 2023. The Consumer NPS score reflects the total Consumer market, and the Business NPS score reflects that of the total Business market.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Consumer - excluding HNW & MA,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,NAB,-1,1,-1,-1,1,0,0,-1,-2,-3,-4,-4,-4,-4,-3,-3,-3,-3,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Peer 1,-6,-8,-6,-8,-6,-6,-6,-6,-7,-8,-8,-8,-10,-10,-10,-10,-11,-10,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Peer 2,-3,-3,-2,-3,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-3,-2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Peer 3,-4,-6,-5,-6,-6,-5,-5,-6,-7,-8,-8,-9,-11,-10,-9,-10,-10,-9,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Business,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,NAB,0,-2,-5,-6,-3,-4,-5,-2,2,4,2,3,5,6,4,4,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Peer 1,-10,-10,-11,-11,-11,-13,-14,-13,-11,-9,-9,-5,-3,-1,-2,-3,-3,-5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Peer 2,4,6,3,2,3,2,1,0,3,4,5,6,9,10,9,10,11,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Peer 3,-9,-11,-11,-9,-6,-8,-7,-8,-6,-4,-4,-3,-1,3,2,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,High Net Worth & Mass Affluent,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,NAB,-8,-5,-4,-6,-5,-3,-5,-5,-7,-6,-2,-3,-2,-7,-12,-12,-11,-9,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Peer 1,-6,-10,-14,-15,-14,-13,-16,-15,-12,-13,-12,-13,-10,-13,-15,-14,-12,-10,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Peer 2,-10,-11,-8,-6,-6,-3,-5,-4,-8,-9,-11,-11,-10,-11,-11,-12,-8,-8,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Peer 3,-11,-13,-6,-6,-7,-4,-6,-3,-8,-10,-7,-8,-4,-4,-5,-3,-4,-5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
