Unnamed: 0,Gross greenhouse gas emissions by activity1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
54,"9. In 2023, The Group has selected a market-based approach as its primary electricity accounting method in 2023, having previously used a location-based methodolgy. This change was made to better reflect the real impact of the increased proportion of LGCs in the GroupÃ¢ÂÂs electricity consumption.\n\nNAB has changed its methodology for calculating market-based emissions to more closely align with the Department of Climate Change, Energy, the Environment and Water (DCCEEW) in its Australian National Greenhouse Accounts Factors August 2023 manual. NAB has restated its 2022 market based emissions number from 77,236 to 60,829 tCO2-e. Market-based figures vary from Climate Active reporting as the Climate Active methodology for calculating market-based emissions incorporates the renewables applicable to the Large-scale Renewable Energy Target (LRET) for the reporting period. The renewables applicable to the LRET is not included in NABÃ¢ÂÂs other publicly reported market-based emissions calculations due to applicable emissions accounting requirements.",,,,,,,,,,,,,,,,,,,,,
55,10. Totals and sub-totals shown in table may not sum due to rounding.,,,,,,,,,,,,,,,,,,,,,
56,"11. In 2023, The Group has selected a market-based approach as its primary electricity accounting method, having previously used a location-based methodolgy. This change was made to better reflect the real impact of the increased proportion of LGCs in the GroupÃ¢ÂÂs electricity consumption.\n\nNAB has retired 64,566 carbon offsets in advance for the 2024 environmental reporting year in accordance with the GroupÃ¢ÂÂs Environmental Reporting and Offset Management Policy. The quantity of offsets retired is the same as our 2023 operational GHG emissions total (market-based emissions total). Per the GroupÃ¢ÂÂs year end reporting processes, actual 2024 offsets retired will be adjusted to match actual 2024 GHG emissions, which may vary based on changes in business operations during the 2024 environmental reporting year. In 2023, an additional 76 offsets have been retired because of historical emission restatements for the 2022 to account for emissions related to electricity and change in water consumption in our New Zealand operations. Additional offsets may need to be retired in 2023 for any additional historical changes.",,,,,,,,,,,,,,,,,,,,,
57,"12. In 2022, offsetting used a location-based method (see above).",,,,,,,,,,,,,,,,,,,,,
60,Gross GHG emissions by source (%),2023,,,,,,,,,,,,,,,,,,,,
61,Air travel,0.157,,,,,,,,,,,,,,,,,,,,
62,Building energy use,0.619,,,,,,,,,,,,,,,,,,,,
63,Business travel (work-use vehicle fleet),0.055,,,,,,,,,,,,,,,,,,,,
64,Hotel stays,0.013,,,,,,,,,,,,,,,,,,,,
65,Other business travel,0.01,,,,,,,,,,,,,,,,,,,,
66,Refrigerants,0.014,,,,,,,,,,,,,,,,,,,,
67,Working from home,0.085,,,,,,,,,,,,,,,,,,,,
68,Other,0.047,,,,,,,,,,,,,,,,,,,,
72,Gross GHG emissions by region (%)1,2023,,,,,,,,,,,,,,,,,,,,
73,Australia,0.907,,,,,,,,,,,,,,,,,,,,
74,New Zealand,0.057,,,,,,,,,,,,,,,,,,,,
75,UK,0.009,,,,,,,,,,,,,,,,,,,,
76,Asia,0.022,,,,,,,,,,,,,,,,,,,,
77,Europe,0.005,,,,,,,,,,,,,,,,,,,,
78,USA,0.0007,,,,,,,,,,,,,,,,,,,,
79,1. Total percentages shown in table may not equal 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,
83,Gross GHG emissions by gas type (%),2023,,,,,,,,,,,,,,,,,,,,
84,Carbon dioxide,0.896,,,,,,,,,,,,,,,,,,,,
85,Nitrous oxide,0.001,,,,,,,,,,,,,,,,,,,,
86,Methane,0.001,,,,,,,,,,,,,,,,,,,,
87,Other gases (including HFCs),0.102,,,,,,,,,,,,,,,,,,,,
95,Offset portfolio by project type for actual GHG emissions (%),2023,,,,,,,,,,,,,,,,,,,,
96,RE - Run of River Hydropower,0.00966878606457202,,,,,,,,,,,,,,,,,,,,
97,RE - Solar,0.39983911139988554,,,,,,,,,,,,,,,,,,,,
98,RE - Wind,0.3996844108228524,,,,,,,,,,,,,,,,,,,,
99,Savanna burning,0.19080769171269008,,,,,,,,,,,,,,,,,,,,
103,Scope 1 and 2 science-based GHG emissions target (tCO2-e)1,2023,2022,2021,2020,2019,2018,2017,2016,2015,,,,,,,,,,,,
104,Scope 1 and 2 (market-based method) Science-based GHG emissions (tCO2-e)* / Scope 1 and 2 (location-based method) Science-based GHG emissions (tCO2-e)**,"15,041*","23,018*","68,108**","88,517**","106,333**","116,692**","122,806**","136,094**","150,893**",,,,,,,,,,,,
105,Target year: 2030*/2025**,"6,366*","6,366*","73,938**","73,938**","73,938**","73,938**","73,938**","73,938**","73,938**",,,,,,,,,,,,
106,"1. In 2023, the Group updated its Scope 1 and 2 (market-based method) science-based GHG emissions reduction target to align its ambition to be net zero by 2050 with the best available science and pathway for a 1.5ÃÂ°C warming scenario. The Group's new target of 6,366 tCO2-e is for a 72% reduction in market-based Scope 1 and 2 emissions by 2030 from a 2022 baseline of 23,018 tCO2-e, and includes all direct GHG emissions (Scope 1) and indirect GHG emissions from consumption of purchased electricity (Scope 2) across all GHGs required under the GHG Protocol Corporate Standard. The target has been prepared in accordance with the Sectoral Decarbonisation Approach (SDA) 'Services BuildingsÃ¢ÂÂ methodology published by the Science Based Targets initiative (SBTi) and SBTi target setting tool, v2.1.2. It aligns with a well-below 1.5ÃÂ°C scenario.",,,,,,,,,,,,,,,,,,,,,
