Unnamed: 0,Principles for Responsible Banking - self-assessment,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
14,"Freedom from forced labour, slavery and servitude and child labour (inc. modern slavery)",,- Respecting human rights (p50-52)\n - Website - Human rights approach\n - Website - Modern slavery and human trafficking statement,link,link,link
15,Indigenous rights and inclusion,,- Inclusive banking (p27)\n - Helping First Nations businesses prosper (p28)\n - BNZ's MÃÂori strategy (p28)\n - Indigenous Australian inclusion (p33)\n - Diversity in supply chain (p34)\n - Website - Indigenous Australian Support\n - Website - NABs Reconciliation Plan\n - Investor Presentation - Commercial responses to societal challenges (p127),link,link,link
16,Improper land acquisition/land grabbing,,- Respecting human rights (p50)\n - Website - Human rights approach,link,,
17,"Data ethics, AI and human rights",,- Resilient technology and operations (p16)\n - Privacy management and data ethics (p45)\n - Respecting human rights (p50)\n - Website - Data ethics\n - Website - Human rights approach,link,link,
19,United Nations Guiding Principles for business and human rights - cross reference,,,,,
20,Section of the Framework,,Reference to Annual Report (unless otherwise stated),Reference 1,Reference 2,Reference 3
21,Policy commitment,,- Website - Human rights approach\n - Website - Human Rights Policy,link,link,
22,Embedding Respect,,- Website - Human rights approach\n - Website - Human Rights Policy\n - Website - National Australia Bank Ltd Code of Conduct,link,link,link
23,Statement of salient issues,,- Refer table above,,,
24,Explanation of salient issues,,- Website - Human rights approach\n - Website - Human Rights Policy,link,link,
25,Geographical focus (if any),,- N/A,,,
26,Additional severe impacts (if any),,- N/A,,,
27,Specific Policies,,- Website - Human rights approach\n - Website - Human Rights Policy,link,link,
28,Stakeholder Engagement,,- Stakeholder engagement (p21)\n - Website - Stakeholder engagement,link,,
29,Assessing impacts,,- Respecting human rights (p50-52)\n - Website - Human rights approach\n - Website - Human Rights Due Diligence process,link,link,
30,Integrating Findings and Taking Action,,- Website - Human rights approach\n - Website - Human Rights Due Diligence process\n - Website - Human Rights Grievance Process,link,link,link
31,Tracking Performance,,- Respecting human rights (p50-52)\n - Website - Human rights approach,link,,
32,Remediation,,- Website - Human Rights Policy\n - Website - Human Rights Grievance Process,link,link,
34,United Nations Global Compact Principles - cross reference,,,,,
35,UN Global Compact Principles,,Reference to Annual Report (unless otherwise stated),Reference 1,Reference 2,Reference 3
36,Human Rights,Principle 1\nBusinesses should support and respect the protection of internationally proclaimed human rights; and,"- Respecting human rights (p50-52)\n - Environmental, Social and Governance (ESG) Risk Management (p53-55)\n - Investor Presentation - Sustainability is embedded in our Group Strategy (p119)\n - Website - Human rights approach",link,,
37,,Principle 2\nMake sure that they are not complicit in human rights abuses.,- Respecting human rights (p50-52)\n - Website - Human rights approach,link,link,
38,Labour,Principle 3: \nBusinesses should uphold the freedom of association and the effective recognition of the right to collective bargaining;,- Enterprise Agreement (p36)\n - Human rights areas of focus (p51)\n - Investor Presentation - Focus on colleagues (p11),,,
39,,Principle 4:\nThe elimination of all forms of forced and compulsory labour;,- Respecting human rights (p50-52)\n - Website - Human rights approach\n - Website - Modern slavery and human trafficking statement,link,link,link
40,,Principle 5: \nThe effective abolition of child labour; and,- Respecting human rights (p50-52)\n - Website - Human rights approach\n - Website - Modern slavery and human trafficking statement,link,link,link
41,,Principle 6: \nThe elimination of discrimination in respect of employment and occupation.,- Inclusion and Diversity (p32-34)\n - Progress against NAB's 2021-2025 Measurable Objectives (p35)\n - Sustainability Data Pack - Workforce tab\n - Website - Inclusion and diversity at NAB,link,,
42,Environment,Principle 7:\nBusinesses should support a precautionary approach to environmental challenges;,"- Climate change and environment (p37-42) \n - Environmental, Social and Governance (ESG) Risk Management (p53-55)\n - 2023 Climate Report\n - Investor Presentation - Sustainability is embedded in our Group Strategy (p119)\n - Website - Environmental approach",link,link,
43,,Principle 8: \nUndertake initiatives to promote greater environmental responsibility; and,- Climate change and environment (p37-42) \n - 2023 Climate Report\n - Investor Presentation - FY23 progress against our climate strategy (p120)\n - Investor Presentation - Natural capital and biodiversity (p126),link,link,
44,,Principle 9:\nEncourage the development and diffusion of environmentally friendly technologies.,- Climate change and environment (p37-42) \n - 2023 Climate Report\n - Investor Presentation - FY23 progress against our climate strategy (p120)\n - Investor Presentation - Natural capital and biodiversity (p126)\n - Website - Environmental approach,link,link,
45,Anti-Corruption,"Principle 10:\nBusinesses should work against corruption in all its forms, including extortion and bribery.","- Technology, data and security (p43-46)\n - Anti-bribery and corruption policy (p82)\n - Website - Managing financial crime",link,,
47,UNITED NATIONS WOMEN'S EMPOWERMENT PRINCIPLES - CONTENT INDEX,,,,,
48,UN Women's Empowerment Principles,,Reference to Annual Report (unless otherwise stated),Reference 1,Reference 2,Reference
49,Principle 1: Establish high-level corporate leadership for gender equality,,- Inclusion and diversity - Gender equality (p32)\n - Website - Gender equity\n - Website - Inclusion and diversity at NAB,link,link,
50,Principle 2: Treat all women and men fairly at work - respect and support human rights and non-discrimination,,- Inclusion and diversity - Gender equality (p32)\n - Website - Gender equity\n - Website - Inclusion and diversity at NAB\n - Website - National Australia Bank Ltd Code of Conduct,link,link,link
51,"Principle 3: Ensure the health, safety and well-being of all women and men workers",,"- Health, safety and wellbeing (p36)\n - Website - Benefits of working at NAB\n - Website - Inclusion and diversity at NAB\n - Website - National Australia Bank Ltd Code of Conduct",link,link,link
52,"Principle 4: Promote education, training and professional development for women",,- Inclusion and diversity - Gender equality (p32)\n - Website - Gender equity\n - Website - Inclusion and diversity at NAB,link,link,
53,Principle 5: Implement enterprise development supply chain and marketing practices that empower women,,- Diversity in supply chain (p34)\n - Website - Managing our supply chain\n - Website - Inclusion and diversity at NAB,link,link,
54,Principle 6: Promote equality through community initiatives and advocacy,,- Inclusion and Diversity (p32-34)\n - Sustainability Data Pack- Investment tab\n - Website - NAB Foundation\n - Website - Inclusion and diversity at NAB,link,link,
55,Principle 7: Measure and publicly report on progress to achieve gender equality,,- Inclusion and diversity - Gender equality (p32)\n - Progress against NAB's 2021-2025 Measurable Objectives (p35)\n - Sustainability Data Pack - Workforce tab\n - Website - Gender equity\n - Website - Inclusion and diversity at NAB,link,link,
