Gross greenhouse gas emissions by activity1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Paper Statements (Non Carbon Neutral) (BNZ only),,130.93214300000002,147,174,196,145,,,,,,,,,,,,,,,
"Transmission losses - base-building energy: diesel, gas, electricity2",,896,1259,1595,1815,2036,,,,,,,,,,,,,,,
Transmission losses - offsite electricity (BNZ & UK only)2,,47,38,50,10,DNR,,,,,,,,,,,,,,,
"Transmission and distribution losses & WTT - stationary energy: diesel, gas, propane, electricity2",,5754,7248,8853,9042,10331,,,,,,,,,,,,,,,
Transmission losses - work-use vehicles fleet: electricity (BNZ only)6,,0.0022,0.0023,0.0021,0.00017,DNR,,,,,,,,,,,,,,,
Vechicle fleet - electricity,,32,4,DNR,DNR,DNR,,,,,,,,,,,,,,,
Waste to incineration (UK & Japan only),,38,9,14,685,154,,,,,,,,,,,,,,,
Waste to landfill7,,774,791,909,1681,2165,,,,,,,,,,,,,,,
Materials Recycled/Diverted from landfill (BNZ only),,4,2,6,7,15,,,,,,,,,,,,,,,
Water use,,191,172,178,322,450,,,,,,,,,,,,,,,
Wastewater (BNZ only)2,,18,14,17,21,25,,,,,,,,,,,,,,,
Working from home energy,,10096,14340,15744,3597,DNR,,,,,,,,,,,,,,,
Total scope 38,▲26%,54078,43020,46960,63085,65372,,,,,,,,,,,,,,,
"Gross GHG emissions (Scope 1, 2 and 3) prior to renewable energy purchase9",-,118988,118654,132631,159375,175043,,,,,,,,,,,,,,,
Renewable electricity purchased,,N/A12,-40997,-20651,-8463,-3360,,,,,,,,,,,,,,,
Carbon offsets retired9,,N/A12,-77656,-111979,-150912,-171683,,,,,,,,,,,,,,,
Net GHG emissions (carbon neutral),-,N/A12,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GHG emissions (tCO2-e)1,2023,2022,,,,,,,,,,,,,,,,,,,
Market-based,,,,,,,,,,,,,,,,,,,,,
Scope 1,7590,6619,,,,,,,,,,,,,,,,,,,
Scope 29,7451,16399,,,,,,,,,,,,,,,,,,,
Scope 3,49525,37811,,,,,,,,,,,,,,,,,,,
Total9 10,64566,60829,,,,,,,,,,,,,,,,,,,
Carbon offsets retired11,-64566,N/A12,,,,,,,,,,,,,,,,,,,
Net GHG emissions (carbon neutral),0,N/A12,,,,,,,,,,,,,,,,,,,
"1. All activities include emissions generated in Australia unless stated otherwise. Figures include emissions associated with Citi consumer business, Europe, Vietnam and India operations, where relevant from 2022. For detail on the Group's greenhouse gas inventory, see the 2023 Climate Report available at nab.com.au/annualreports or refer to https://www.nab.com.au/about-us/social-impact/environment/climate-change.",,,,,,,,,,,,,,,,,,,,,
2. BNZ’s 2022 emissions were restated to reflect minor changes. BNZ's Scope 2 emissions increased by 147 tCO2-e and Scope 3 emissions increased by 41 tCO2-e to account for a change in the electricity emissions factor due to MfE’s August 2022 release of ‘Measuring emissions: A guide for organisations: 2022 summary of emission factors’ and improved accuracy of water data in 2023 following release of 2022 accruals. The net change in total BNZ GHG emissions after accounting for renewable energy is 76 tCO2-e.,,,,,,,,,,,,,,,,,,,,,
"3. Business travel air includes DBEIS’s required distance uplift and from 2020, are inclusive of radiative forcing (all operations). ",,,,,,,,, ,,,,,,,,,,,,
"4. Historical figures 2021-2019 have been restated to include emissions from these categories for BNZ. From 2023, NAB has reported emissions under this category.",,,,,,,,,,,,,,,,,,,,,
"5. Other business travel includes colleague vehicles, rail (UK, Europe and Japan), rental cars, taxi use and work use vehicles.",,,,,,,,,,,,,,,,,,,,,
6. 2020-2021 figures  have been restated to account for BNZ data.,,,,,,,,,,,,,,,,,,,,,
7. Historical figures restated to account for additional waste data from JBWere NZ.,,,,,,,,,,,,,,,,,,,,,
8. NAB excludes 'Employee commute' from its operational emissions boundary in 2023. NAB is currently compiling data and developing its methodology to estimate emissions associated with 'Employee commute' and will engage with stakeholders on this work in 2024. See p79-80 of NAB’s 2023 Climate Report for further information.,,,,,,,,,,,,,,,,,,,,,
"9. In 2023, The Group has selected a market-based approach as its primary electricity accounting method in 2023, having previously used a location-based methodolgy. This change was made to better reflect the real impact of the increased proportion of LGCs in the Group’s electricity consumption.

NAB has changed its methodology for calculating market-based emissions to more closely align with the Department of Climate Change, Energy, the Environment and Water (DCCEEW) in its Australian National Greenhouse Accounts Factors August 2023 manual. NAB has restated its 2022 market based emissions number from 77,236 to 60,829 tCO2-e. Market-based figures vary from Climate Active reporting as the Climate Active methodology for calculating market-based emissions incorporates the renewables applicable to the Large-scale Renewable Energy Target (LRET) for the reporting period. The renewables applicable to the LRET is not included in NAB’s other publicly reported market-based emissions calculations due to applicable emissions accounting requirements. ",,,,,,,,,,,,,,,,,,,,,
10. Totals and sub-totals shown in table may not sum due to rounding.,,,,,,,,,,,,,,,,,,,,,
"11. In 2023, The Group has selected a market-based approach as its primary electricity accounting method, having previously used a location-based methodolgy. This change was made to better reflect the real impact of the increased proportion of LGCs in the Group’s electricity consumption.

NAB has retired 64,566 carbon offsets in advance for the 2024 environmental reporting year in accordance with the Group’s Environmental Reporting and Offset Management Policy. The quantity of offsets retired is the same as our 2023 operational GHG emissions total (market-based emissions total). Per the Group’s year end reporting processes, actual 2024 offsets retired will be adjusted to match actual 2024 GHG emissions, which may vary based on changes in business operations during the 2024 environmental reporting year. In 2023, an additional 76 offsets have been retired because of historical emission restatements for the 2022 to account for emissions related to electricity and change in water consumption in our New Zealand operations. Additional offsets may need to be retired in 2023 for any additional historical changes. ",,,,,,,,,,,,,,,,,,,,,
"12. In 2022, offsetting used a location-based method (see above).",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gross GHG emissions by source (%),2023,,,,,,,,,,,,,,,,,,,,
Air travel ,0.157,,,,,,,,,,,,,,,,,,,,
Building energy use ,0.619,,,,,,,,,,,,,,,,,,,,
Business travel (work-use vehicle fleet),0.055,,,,,,,,,,,,,,,,,,,,
Hotel stays ,0.013,,,,,,,,,,,,,,,,,,,,
Other business travel,0.01,,,,,,,,,,,,,,,,,,,,
Refrigerants,0.014,,,,,,,,,,,,,,,,,,,,
Working from home,0.085,,,,,,,,,,,,,,,,,,,,
Other,0.047,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gross GHG emissions by region (%)1,2023,,,,,,,,,,,,,,,,,,,,
Australia,0.907,,,,,,,,,,,,,,,,,,,,
New Zealand,0.057,,,,,,,,,,,,,,,,,,,,
UK,0.009,,,,,,,,,,,,,,,,,,,,
Asia,0.022,,,,,,,,,,,,,,,,,,,,
Europe,0.005,,,,,,,,,,,,,,,,,,,,
USA,0.0007,,,,,,,,,,,,,,,,,,,,
1. Total percentages shown in table may not equal 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gross GHG emissions by gas type (%),2023,,,,,,,,,,,,,,,,,,,,
Carbon dioxide,0.896,,,,,,,,,,,,,,,,,,,,
Nitrous oxide,0.001,,,,,,,,,,,,,,,,,,,,
Methane,0.001,,,,,,,,,,,,,,,,,,,,
Other gases (including HFCs),0.102,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Offset portfolio by project type for actual GHG emissions (%),2023,,,,,,,,,,,,,,,,,,,,
RE - Run of River Hydropower,0.00966878606457202,,,,,,,,,,,,,,,,,,,,
RE - Solar,0.39983911139988554,,,,,,,,,,,,,,,,,,,,
RE - Wind,0.3996844108228524,,,,,,,,,,,,,,,,,,,,
Savanna burning,0.19080769171269008,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Scope 1 and 2 science-based GHG emissions target (tCO2-e)1,2023,2022,2021,2020,2019,2018,2017,2016,2015,,,,,,,,,,,,
Scope 1 and 2 (market-based method) Science-based GHG emissions (tCO2-e)* / Scope 1 and 2 (location-based method) Science-based GHG emissions (tCO2-e)**,"15,041*","23,018*","68,108**","88,517**","106,333**","116,692**","122,806**","136,094**","150,893**",,,,,,,,,,,,
Target year: 2030*/2025**,"6,366*","6,366*","73,938**","73,938**","73,938**","73,938**","73,938**","73,938**","73,938**",,,,,,,,,,,,
"1. In 2023, the Group updated its Scope 1 and 2 (market-based method) science-based GHG emissions reduction target to align its ambition to be net zero by 2050 with the best available science and pathway for a 1.5°C warming scenario. The Group's new target of 6,366 tCO2-e is for a 72% reduction in market-based Scope 1 and 2 emissions by 2030 from a 2022 baseline of 23,018 tCO2-e, and includes all direct GHG emissions (Scope 1) and indirect GHG emissions from consumption of purchased electricity (Scope 2) across all GHGs required under the GHG Protocol Corporate Standard. The target has been prepared in accordance with the Sectoral Decarbonisation Approach (SDA) 'Services Buildings’ methodology published by the Science Based Targets initiative (SBTi) and SBTi target setting tool, v2.1.2. It aligns with a well-below 1.5°C scenario.",,,,,,,,,,,,,,,,,,,,,
