Global Reporting Initiative (GRI) Standards index (GRI universal standards 2021),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Disclosure 306-4 Waste diverted from disposal,Sustainability Data Pack - Position,link,,,,
,Disclosure 306-5 Waste directed to disposal,Sustainability Data Pack - Position,link,,,,
GRI 308: Supplier Environmental Assessment 2016,Disclosure 308-1 New suppliers that were screened using environmental criteria,"Environmental, Social and Governance (ESG) Risk Management (p53-55)",link,,,,
,Disclosure 308-2 Negative environmental impacts in the supply chain and actions\ntaken,"Environmental, Social and Governance (ESG) Risk Management (p53-55)",link,,,,
GRI 401: Employment 2016,Disclosure 401-1 New employee hires and employee turnover,Sustainability Data Pack - Workforce\nSustainability Data Pack - Culture,link,,,,
,Disclosure 401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,Colleague (p30-34),link,,,,
,Disclosure 401-3 Parental leave,Inclusion and diversity (p32)\nSustainability Data Pack - Culture,link,,,,
GRI 403: Occupational Health and Safety 2018,Disclosure 403-1 Occupational health and safety management system,"Health, safety and wellbeing (p36)",link,,,,
,"Disclosure 403-2 Hazard identification, risk assessment, and incident investigation","Health, safety and wellbeing (p36)",link,,,,
,Disclosure 403-3 Occupational health services,"Health, safety and wellbeing (p36)",link,,,,
,"Disclosure 403-4 Worker participation, consultation, and communication on occupational health and safety","Health, safety and wellbeing (p36)",link,,,,
,Disclosure 403-5 Worker training on occupational health and safety,"Health, safety and wellbeing (p36)",link,,,,
,Disclosure 403-6 Promotion of worker health,"Health, safety and wellbeing (p36)",link,,,,
,Disclosure 403-7 Prevention and mitigation of occupational health and safety\nimpacts directly linked by business relationships,"Health, safety and wellbeing (p36)",link,,,,
,Disclosure 403-8 Workers covered by an occupational health and safety\nmanagement system,"Health, safety and wellbeing (p36)",link,,,,
,Disclosure 403-9 Work-related injuries,Sustainability Data Pack - Culture,link,,,,
,Disclosure 403-10 Work-related ill health,Sustainability Data Pack - Culture,link,,,,
GRI 404: Training and Education 2016,Disclosure 404-1 Average hours of training per year per employee,Sustainability Data Pack - Training,link,,,,
,Disclosure 404-2 Programs for upgrading employee skills and transition assistance programs,Sustainability Data Pack - Training,link,,,,
,Disclosure 404-3 Percentage of employees receiving regular performance and career development reviews,Remuneration report (p115),link,,,,
GRI 405: Diversity and Equal Opportunity 2016,Disclosure 405-1 Diversity of governance bodies and employees,Inclusion and diversity (p32)\nSustainability Data Pack - Culture,link,,,,
,Disclosure 405-2 Ratio of basic salary and remuneration of women to men,Inclusion and diversity (p32)\nSustainability Data Pack - Remuneration,link,,,,
GRI 406: Non-discrimination 2016,Disclosure 406-1 Incidents of discrimination and corrective actions taken,Code of Conduct (p81-83)\nSustainability Data Pack - Culture,link,6,,,
GRI 407: Freedom of Association and Collective\nBargaining 2016,Disclosure 407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,Enterprise Agreement (p36),link,3,,,
GRI 408: Child Labor 2016,Disclosure 408-1 Operations and suppliers at significant risk for incidents of child labor,2023 Modern Slavery Statement,link,5,,,
GRI 409: Forced or Compulsory Labor 2016,Disclosure 409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,2023 Modern Slavery Statement,link,4,,,
GRI 410: Security Practices 2016,Disclosure 410-1 Security personnel trained in human rights policies or procedures,2023 Modern Slavery Statement,link,12,,,
GRI 411: Rights of Indigenous Peoples 2016,Disclosure 411-1 Incidents of violations involving rights of indigenous peoples,2023 Modern Slavery Statement,link,,,,
GRI 413: Local Communities 2016,"Disclosure 413-1 Operations with local community engagement, impact assessments, and development programs",Helping our communities prosper (p47-49),link,,,,
,Disclosure 413-2 Operations with significant actual and potential negative impacts on local communities,Helping our communities prosper (p47-49),link,,,,
GRI 414: Supplier Social Assessment 2016,Disclosure 414-1 New suppliers that were screened using social criteria,Website - Human rights approach,link,12,,,
,Disclosure 414-2 Negative social impacts in the supply chain and actions taken,Website - Human rights approach,link,12,,,
GRI 415: Public Policy 2016,Disclosure 415-1 Political contributions,Website - Corporate Governance\nStakeholder engagement (p23),link,,,,
