Industries of interest,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Sheep,0.03,,,,,,,,
Other Livestock,0.02,,,,,,,,
Poultry,0.01,,,,,,,,
Mixed,0.25,,,,,,,,
Services,0.07,,,,,,,,
Forestry & Fishing,0.03,,,,,,,,
Dairy,0.04,,,,,,,,
Grain,0.1,,,,,,,,
Other Crop & Grain,0.07,,,,,,,,
Cotton,0.05,,,,,,,,
Vegetables,0.03,,,,,,,,
,,,,,,,,,
"New Zealand agricultural, forestry and fishing exposures by sector (%)1",2023,,,,,,,,
Portfolio EAD NZ$17.4bn September 2023,,,,,,,,,
Dairy,0.42,,,,,,,,
Drystock,0.21,,,,,,,,
Forestry,0.06,,,,,,,,
Kiwifruit,0.1,,,,,,,,
Other Agriculture,0.14,,,,,,,,
Services to Agriculture,0.07,,,,,,,,
"1. Based on ANZSIC Level 1 classifications of the counterparty to which the Group is exposed to credit risk, including guarantors and derivative counterparties.",,,,,,,,,
,,,,,,,,,
"Credit Risk Exposures by Industry
The Group's credit risk exposures by major industry type table are available in the Group's 2023 Pillar 3 report, available at https://www.nab.com.au/about-us/shareholder-centre/regulatory-disclosures. Industry classifications follow ANZSIC Level 1 classifications. Exposures are disclosed based on the counterparty to which the Group is exposed to credit risk, including guarantors and derivative counterparties.",,,,,,,,,
