Unnamed: 0,Colleague engagement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
86,Total number of colleagues who returned to work after parental leave ended who were still employed twelve months after their return to work,233,104,204,98,199,73,202,63,,,,,,
87,Total number of colleagues who returned to work after parental leave ended who were still employed two years after their return to work,202,99,201,71,203,62,190,55,,,,,,
88,1. Return to work rate measures the percentage of colleagues who have returned and remained working for a period of at least 30 days (in relevant reporting year). Includes colleagues taking extended leave that commenced with primary carers leave. Count of colleagues returning to work is also provided for extended time periods (i.e. colleagues that returned in prior periods and that remained at NAB after 1 or 2 years).,,,,,,,,,,,,,,
89,2. NAB and BNZ have colleagues who do not identify as either male or female.,,,,,,,,,,,,,,
91,"Health, safety and wellbeing",,,,,,,,,,,,,,
92,Lost Time Injury Frequency Rate (LTIFR)1,2023,2022,2021,2020,2019,,,,,,,,,
93,Australia,0.39,0.49,0.65,0.42,0.68,,,,,,,,,
94,New Zealand,0.64,0.56,0.84,0.98,2.59,,,,,,,,,
95,"1. Lost time injuries are defined as a workplace injury resulting in a colleague being absent from work for at least one full shift, and for which the colleague receives workers compensation. LTIFR = Lost time injuries ÃÂ 1,000,000 hours worked ÃÂ· (average annual full-time equivalent colleagues, including casuals ÃÂ 40-hour working week ÃÂ 46 weeks per year). From 2019, a 37.5-hour working week is used in the calculation for New Zealand. Past results may have been revised upwards due to additional lost time injuries being recorded after the reporting period has ended. Current year results may also be revised as additional lost time injuries are recorded in our system. Any updates will be reflected in future reporting. Historical figures have been restated due to additional injuries being recorded for previously reported periods.",,,,,,,,,,,,,,
97,Absenteeism rate1,2023,2022,2021,2020,2019,,,,,,,,,
98,Australia,7.74,9.19,6.77,7.87,8.82,,,,,,,,,
99,New Zealand,7.49,7.07,5.61,4.83,6.57,,,,,,,,,
100,Total days lost due to work-related stress,,,,,,,,,,,,,,
101,Australia,5159,5131,3381,3019,3654,,,,,,,,,
102,"1. Absenteeism represents the total number of unscheduled absence days during the period divided by the average number of full time equivalent colleagues (excluding casual colleagues). Current year results may also be revised as additional absences are recorded in our system. Any updates will be reflected in future reporting. Pandemic leave is included in the absenteeism calculation, an increase in colleagues taking pandemic leave has contributed to the increase in absenteeism reported in 2022.",,,,,,,,,,,,,,
