Global Reporting Initiative (GRI) Standards index (GRI universal standards 2021),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Disclosure 205-2 Communication and training about anti-corruption policies and procedures,How we work - Anti-bribery and corruption policy (p82),link,10,,,
,Disclosure 205-3 Confirmed incidents of corruption and actions taken,Risk factors - Compliance risk (p99),link,10,,,
GRI 206: Anti-competitive Behavior 2016,"Disclosure 206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices","How we work - Anti-bribery and corruption policy (p82)
Risk factors - Compliance risk (p99)",link,10,,,
GRI 207: Tax 2019,Disclosure 207-1 Approach to tax,2023 Tax Transparency Report,link,,,,
,"Disclosure 207-2 Tax governance, control, and risk management",2023 Tax Transparency Report,link,,,,
,Disclosure 207-3 Stakeholder engagement and management of concerns related to tax,2023 Tax Transparency Report,link,,,,
,Disclosure 207-4 Country-by-country reporting,"2023 Tax Transparency Report
2023 NAB Group Entity Report",link,,,,
GRI 302: Energy 2016,Disclosure 302-1 Energy consumption within the organization,Sustainability Data Pack - Energy,link,"7,8",,,
,Disclosure 302-2 Energy consumption outside of the organization,Sustainability Data Pack - Energy,link,"7,8",,,
,Disclosure 302-3 Energy intensity,Climate report: SECR disclosure (p61),link,"7,8",,,
,Disclosure 302-4 Reduction of energy consumption ,Sustainability Data Pack - Energy,link,"7,8",,,
,Disclosure 302-5 Reductions in energy requirements of products and services,Sustainability Data Pack - Energy,link,"7,8",,,
GRI 303: Water and Effluents 2018,Disclosure 303-1 Interactions with water as a shared resource,Sustainability Data Pack - Position,link,"7,8",,,
,Disclosure 303-2 Management of water discharge-related impacts,Sustainability Data Pack - Position,link,"7,8",,,
,Disclosure 303-3 Water withdrawal,Sustainability Data Pack - Position,link,"7,8",,,
,Disclosure 303-4 Water discharge,Sustainability Data Pack - Position,link,"7,8",,,
,Disclosure 303-5 Water consumption,Sustainability Data Pack - Position,link,"7,8",,,
GRI 304: Biodiversity 2016,"Disclosure 304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",Biodiversity and natural capital (p40-42),link,"7,8",,,
,"Disclosure 304-2 Significant impacts of activities, products and services on biodiversity",Biodiversity and natural capital (p40-42),link,"7,8",,,
,Disclosure 304-3 Habitats protected or restored,Biodiversity and natural capital (p40-42),link,"7,8",,,
GRI 305: Emissions 2016,Disclosure 305-1 Direct (Scope 1) GHG emissions,Sustainability Data Pack - GHG Emissions,link,"7,8",,,
,Disclosure 305-2 Energy indirect (Scope 2) GHG emissions,Sustainability Data Pack - GHG Emissions,link,"7,8",,,
,Disclosure 305-3 Other indirect (Scope 3) GHG emissions,Sustainability Data Pack - GHG Emissions,link,"7,8",,,
,Disclosure 305-4 GHG emissions intensity,Sustainability Data Pack - Position,link,"7,8",,,
,Disclosure 305-5 Reduction of GHG emissions,Sustainability Data Pack - GHG Emissions,link,"7,8",,,
,Disclosure 305-6 Emissions of ozone-depleting substances (ODS),2022 CDP Climate Change report - C6.4a (p44),link,"7,8",,,
,"Disclosure 305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Sustainabiltiy data pack - GHG Emissions,link,"7,8",,,
GRI 306: Effluents and Waste 2016,Disclosure 306-1 Water discharge by quality and destination,2022 CDP Climate Change report - C6.5 (p49),link,"7,8",,,
,Disclosure 306-2 Waste by type and disposal method,Sustainability Data Pack - Position,link,"7,8",,,
,Disclosure 306-3 Significant spills,No significant spills in 2023,link,"7,8",,,
GRI 306: Waste 2020,Disclosure 306-1 Waste generation and significant waste-related impacts,Climate change and environment (p37),link,"7,8",,,
,Disclosure 306-2 Management of significant waste-related impacts,Climate change and environment (p37),link,"7,8",,,
,Disclosure 306-3 Waste generated,Sustainability Data Pack - Position,link,"7,8",,,
,Disclosure 306-4 Waste diverted from disposal,Sustainability Data Pack - Position,link,,,,
,Disclosure 306-5 Waste directed to disposal,Sustainability Data Pack - Position,link,,,,
GRI 308: Supplier Environmental Assessment 2016,Disclosure 308-1 New suppliers that were screened using environmental criteria,"Environmental, Social and Governance (ESG) Risk Management (p53-55)",link,,,,
,"Disclosure 308-2 Negative environmental impacts in the supply chain and actions
taken","Environmental, Social and Governance (ESG) Risk Management (p53-55)",link,,,,
GRI 401: Employment 2016,Disclosure 401-1 New employee hires and employee turnover,"Sustainability Data Pack - Workforce
Sustainability Data Pack - Culture",link,,,,
,Disclosure 401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,Colleague (p30-34),link,,,,
,Disclosure 401-3 Parental leave,"Inclusion and diversity (p32)
Sustainability Data Pack - Culture",link,,,,
GRI 403: Occupational Health and Safety 2018,Disclosure 403-1 Occupational health and safety management system,"Health, safety and wellbeing (p36)",link,,,,
,"Disclosure 403-2 Hazard identification, risk assessment, and incident investigation","Health, safety and wellbeing (p36)",link,,,,
,Disclosure 403-3 Occupational health services,"Health, safety and wellbeing (p36)",link,,,,
,"Disclosure 403-4 Worker participation, consultation, and communication on occupational health and safety","Health, safety and wellbeing (p36)",link,,,,
,Disclosure 403-5 Worker training on occupational health and safety,"Health, safety and wellbeing (p36)",link,,,,
,Disclosure 403-6 Promotion of worker health,"Health, safety and wellbeing (p36)",link,,,,
,"Disclosure 403-7 Prevention and mitigation of occupational health and safety
impacts directly linked by business relationships","Health, safety and wellbeing (p36)",link,,,,
,"Disclosure 403-8 Workers covered by an occupational health and safety
management system","Health, safety and wellbeing (p36)",link,,,,
,Disclosure 403-9 Work-related injuries,Sustainability Data Pack - Culture,link,,,,
,Disclosure 403-10 Work-related ill health,Sustainability Data Pack - Culture,link,,,,
GRI 404: Training and Education 2016,Disclosure 404-1 Average hours of training per year per employee,Sustainability Data Pack - Training,link,,,,
,Disclosure 404-2 Programs for upgrading employee skills and transition assistance programs,Sustainability Data Pack - Training,link,,,,
,Disclosure 404-3 Percentage of employees receiving regular performance and career development reviews,Remuneration report (p115),link,,,,
GRI 405: Diversity and Equal Opportunity 2016,Disclosure 405-1 Diversity of governance bodies and employees,"Inclusion and diversity (p32)
Sustainability Data Pack - Culture",link,,,,
,Disclosure 405-2 Ratio of basic salary and remuneration of women to men,"Inclusion and diversity (p32)
Sustainability Data Pack - Remuneration",link,,,,
GRI 406: Non-discrimination 2016,Disclosure 406-1 Incidents of discrimination and corrective actions taken,"Code of Conduct (p81-83)
Sustainability Data Pack - Culture",link,6,,,
"GRI 407: Freedom of Association and Collective
Bargaining 2016",Disclosure 407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,Enterprise Agreement (p36),link,3,,,
GRI 408: Child Labor 2016,Disclosure 408-1 Operations and suppliers at significant risk for incidents of child labor,2023 Modern Slavery Statement,link,5,,,
GRI 409: Forced or Compulsory Labor 2016,Disclosure 409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,2023 Modern Slavery Statement,link,4,,,
GRI 410: Security Practices 2016,Disclosure 410-1 Security personnel trained in human rights policies or procedures,2023 Modern Slavery Statement,link,"1,2",,,
GRI 411: Rights of Indigenous Peoples 2016,Disclosure 411-1 Incidents of violations involving rights of indigenous peoples,2023 Modern Slavery Statement,link,,,,
GRI 413: Local Communities 2016,"Disclosure 413-1 Operations with local community engagement, impact assessments, and development programs",Helping our communities prosper (p47-49),link,,,,
,Disclosure 413-2 Operations with significant actual and potential negative impacts on local communities,Helping our communities prosper (p47-49),link,,,,
GRI 414: Supplier Social Assessment 2016,Disclosure 414-1 New suppliers that were screened using social criteria,Website - Human rights approach,link,"1,2",,,
,Disclosure 414-2 Negative social impacts in the supply chain and actions taken,Website - Human rights approach,link,"1,2",,,
GRI 415: Public Policy 2016,Disclosure 415-1 Political contributions,"Website - Corporate Governance
Stakeholder engagement (p23)",link,,,,
GRI 418: Customer Privacy 2016,Disclosure 418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,Sustainability Data Pack - General,link,,,,
