Unnamed: 0,Unnamed: 1,Focus on our people,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,TAS,-,-,-,-,-,-,-,-,-,-,2,0.12,4,0.29,,,,,,,,
,,VIC,-,-,-,-,-,-,-,-,-,-,133,0.17,204,0.24,,,,,,,,
,,WA,-,-,-,-,-,-,-,-,-,-,25,0.21,24,0.21,,,,,,,,
,,Group total,295,0.23,272,0.21,266,0.20121951219512196,269,0.1985239852398524,184,0.14,228,0.18,304,0.24,,,,,,,,
,,"1 -  The number of new hires in each category as a proportion of employees in that category.
2 - FY21 is the first year we are reporting this indicator by region",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 401-1,Turnover1,,,,,,,,,,,,,,,,,,,,,,
,,,FY16,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,
,,By gender,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,,,,,,
,,Male,154,0.3,127,0.24,108,0.2033898305084746,96,0.17235188509874327,98,0.18,112,0.23,113,0.23,,,,,,,,
,,Female,223,0.29,191,0.24,164,0.20998719590268886,139,0.17418546365914786,140,0.18,180,0.24,186,0.25,,,,,,,,
,,By age,,,,,,,,,,,,,,,,,,,,,,
,,Under 30,62,0.31,62,0.32,62,0.3583815028901734,53,0.26108374384236455,49,0.26,48,0.27,78,0.4406779661016949,,,,,,,,
,,30-50,234,0.28,188,0.22,151,0.1794871794871795,136,0.162874251497006,137,0.17,172,0.23,156,0.21066846725185687,,,,,,,,
,,Over 50,81,0.28,68,0.25,59,0.18,46,0.14511041009463724,52,0.17,72,0.22,65,0.19519519519519518,,,,,,,,
,,By state2,,,,,,,,,,,,,,,,,,,,,,
,,ACT,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,,,,
,,NSW,-,-,-,-,-,-,-,-,-,-,51,0.31,56,0.35,,,,,,,,
,,QLD,-,-,-,-,-,-,-,-,-,-,35,0.33,29,0.31,,,,,,,,
,,SA,-,-,-,-,-,-,-,-,-,-,14,0.3,7,0.15,,,,,,,,
,,TAS,-,-,-,-,-,-,-,-,-,-,3,0.19,5,0.36,,,,,,,,
,,VIC,-,-,-,-,-,-,-,-,-,-,150,0.19,175,0.21,,,,,,,,
,,WA,-,-,-,-,-,-,-,-,-,-,39,0.33,27,0.24,,,,,,,,
,,Group total,377,0.29,318,0.24,272,0.2073170731707317,235,0.17343173431734318,238,0.18,292,0.23,299,0.26,,,,,,,,
,,"1 - The number of employee exits (voluntary and involuntary) in each category as a proportion of employees in that category.
2 - FY21 is the first year we are reporting this indicator by region. Fixed-term employees are excluded from the terminations/turnover calculations as they exited as planned due to the end of their fixed-term contract.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 401-3,Return to work and retention rate after parental leave,,,,,,,,,,,,,,,,,,,,,,
,,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,,,
,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,,,
,,Employees entitled to parental leave,487,689,402,598,432,611,441,624,397,557,451,654,,,,,,,,,,
,,Employees that took parental leave,6,42,15,42,13,58,25,69,17,55,21,42,,,,,,,,,,
,,Employees who returned to work in the reporting period after parental leave ended,6,48,15,23,14,29,26,38,14,25,16,24,,,,,,,,,,
,,Employees who returned to work after parental leave ended in the previous financial year,6,29,6,48,15,23,14,29,26,38,14,25,,,,,,,,,,
,,Employees who returned to work after parental leave ended who were still employed 12 months after their return,5,26,5,27,9,22,9,25,15,29,16,24,,,,,,,,,,
,,Return to work rate1,1,1,1,0.55,0.93,0.67,2,0.66,0.56,0.36,0.9411764705882353,0.43636363636363634,,,,,,,,,,
,,Retention rate,0.83,0.9,0.83,0.56,0.6,0.9565217391304348,0.64,0.86,0.58,0.76,114%*,0.96,,,,,,,,,,
,,"1 - The number of employees who returned to work in the reporting period after parental leave ended as a proportion of employees that took parental leave and are due to return
* - This exceeds 100% as we had more male employees return to work after parental leave in FY22 than we did in the prior FY reporting period",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 405-1,Gender diversity,,,,,,,,,,,,,,,,,,,,,,
,,,FY16,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,
,,Category,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,
,,Board,0.73,0.27,0.7,0.3,0.6699999999999999,0.33,0.63,0.37,0.75,0.25,0.75,0.25,0.71,0.29,,,,,,,,
,,Executive Committee,0.78,0.22,0.67,0.33,0.6699999999999999,0.33,0.7,0.3,0.67,0.33,0.67,0.33,0.6,0.4,,,,,,,,
,,Other Executives & General Managers (Senior Leaders1),0.63,0.37,0.66,0.34,0.6699999999999999,0.33,0.74,0.26,0.76,0.24,0.77,0.23,0.79,0.21,,,,,,,,
,,Senior Managers2,0.7,0.3,0.62,0.38,0.63,0.37,0.45,0.55,0.67,0.33,0.62,0.38,0.55,0.45,,,,,,,,
,,Other Managers3,,,,,,,,,0.46,0.54,0.4,0.6,-,-,,,,,,,,
,,Our People4,0.32,0.68,0.33,0.67,0.32999999999999996,0.67,0.36,0.64,0.34,0.66,0.32,0.68,0.34,0.66,,,,,,,,
,,Group ,0.4038910505836576,0.596108949416342,0.4,0.6,0.4,0.6,0.41,0.59,0.4,0.6,0.39,0.61,0.43,0.57,,,,,,,,
,,"1 - Other executives and general managers WGEA category
2 - Senior manager WGEA category
3 - Other manager WGEA category - FY20 is the first year we have reported on this category. As of FY22, this is no longer an employee category and will not be reported on moving forward. 
4 - Non-manager WGEA category",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 405-1,Age diversity,,,,,,,,,,,,,,,,,,,,,,
,,,FY17,,,FY18,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,
,,Category,Under 30,30-50,Over 50,Under 30,30-50,Over 50,Under 30,30-50,Over 50,Under 30,30-51,Over 50,Under 30,30-51,Over 50,Under 30,30-50,Over 50,Under 30,30-50,Over 50,
,,Board,-,-,1,-,-,1,-,-,1, - , - ,1, - , - ,1,0,0,1,,,,
,,Executive Committee,-,0.67,0.33,-,0.44,0.56,-,0.5,0.5, - ,0.5,0.5, - ,0.3,0.6,0,0.4,0.6,,,,
,,Other Executives & General Managers (Senior Leaders1),-,0.86,0.14,-,0.78,0.22,-,0.68,0.32, - ,0.69,0.31, - ,0.46,0.54,0,0.55,0.45,,,,
,,Senior Managers2,0.01,0.85,0.14,0.07,0.73,0.2,0.08,0.71,0.21,0.01,0.83,0.16,0.05,0.69,0.26,0.05,0.68,0.27,,,,
,,Our People3,0.16,0.62,0.21,0.19,0.58,0.23,0.21,0.55,0.24,0.18,0.58,0.24,0.21,0.55,0.25,0.21,0.54,0.25,,,,
,,Group ,0.15,0.65,0.21,0.13,0.65,0.22,0.15,0.62,0.23,0.14,0.62,0.24,0.14,0.6,0.26,0.14,0.59,0.27,,,,
,,"1 - Other executives and general managers WGEA category
2 - Senior manager WGEA category
3 - Non-manager WGEA category",,,,,,,,,,,,,,,,,,,,,,
,,Percentage of remuneration from women to men ,,,,,,,,,,,,,,,,,,,,,,
,GRI 405-2,Category,FY18,FY 19,Column1,FY20,Column2,FY21,FY 21,FY22,Column3,FY23,FY232,,,,,,,,,,,
,,,Remuneration,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,,,,,,,,,,,
,,Executive Committee*,86,0.99,0.95,78,0.85,1.02,1.04,0.78,0.87,,,,,,,,,,,,,
,,Senior Leaders,77,0.8,0.84,79,0.83,0.82,0.87,0.87,0.89,,,,,,,,,,,,,
,,Team Members,70,0.75,0.77,70,0.73,0.7,0.73,0.71,0.74,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"
1 - The employment categories presented in this table are broad and incorporate a number of different roles to calculate an average ratio.
2 - Executive Committee includes all employees on the Executive Committee excluding the CEO and KMP. 
3 - Senior Leaders includes all senior leaders reporting into an Executive Committee member
4 - Vicinity has changed the definitions of the employment categories for this indicator and therefore has reinstated all data for the past three years.

* Please exclude the CEO and KMP. Include other EC members. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 404-3,"Percentage of employees who received performance reviews, 
by gender and by employee category1",,,,,,,,,,,,,,,,,,,,,,
,,Category,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,
,,Male,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,,Female,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,,Executive Committee*,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,,Senior Leaders,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,,Our People (Team Members)**,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Category,Number of fixed term and permanent employees who received performance reviews,Number of permanent employees in the category,Percentage of all employees out of permanent employees who received performnace reviews,Percentage of permanent employees out of all employees who received performnace reviews,Percentage of permanent employees who received performnace review,,,,,,,,,,,,,,,,,
,,Total permanent employees,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,,,,,,,,,,
,,Female,,,,,,,,,,,,,,,,,,,,,,
,,Executive Committee*,,,,,,,,,,,,,,,,,,,,,,
,,Senior Leaders,,,,,,,,,,,,,,,,,,,,,,
,,Our people**,,,,,,,,,,,,,,,,,,,,,,
,,"* Please exclude the CEO and KMP. Include other EC members. 
**Our people: All other employees ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 403-9,Absentee rate for employees and internal contractors,,,,,,,,,,,,,,,,,,,,,,
,,Category,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
,,Absentee Rate1,1.31,1.57,1.93,1.87,1.65,1.43,1.88,,,,,,,,,,,,,,,
,,"1 - Percentage of days lost as a result of absences. Absentee rate for FY16 only covered half the year (from 1 January to 30 June 2016). Therefore, the increase in the absentee rate is due to improved data capture from FY17 onwards.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 403-9,Injury performance indicators for employees and internal contractors,,,,,,,,Completed by safety team ,,,,,,,,,,,,,,
,,Category,FY16,FY17,FY18,FY19,FY20,FY21,FY22,,,,,,,,,,,,,,,
,,Lost Time Injury Frequency Rate1,3.31,2.4,See note 3,See note 3,See note 3,0.52,0.53,,,,,,,,,,,,,,,
,,Total Recordable Injury Frequency Rate2,5.67,3.84,,,,1.57,0.53,,,,,,,,,,,,,,,
,,Fatalities,0,0,,,,0,0,,,,,,,,,,,,,,,
,,"Definitions: 
A Lost Time Injury (LTI) is an occurrence that resulted in a fatality, permanent disability or time lost from work of one day/shift or more. 
Medical Treatment Injury (MTI) is a work related injury or illness requiring or receiving medical or hospital treatment. 

1 - The number of LTIs for each million hours worked over a 12 month rolling period. 
2 - The number of LTIs and MTIs for each million hours worked over a 12 month rolling period. 
3 - Vicinity has extremely low injury rates with our workforce, which has made it difficult to identify further meaningful improvement opportunities. Given these low injury rates, Vicinity has determined that we will no longer report injury performance indicators in our annual sustainability reporting, but will resume reporting if there is a material increase, and will continue to monitor our performance internally to ensure the effectiveness of our safety practices is maintained.
",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 404-1,Category,Board,EC + CEO,"Other Executive / GM
(Senior Leader category)","Senior Managers
(People Leader category)",Other Managers ,"Our People
(Team Member category)","Average hours per employee
(excl. Board)",,,,,,,,,,,,,,,
,,Average Hours of training per employee category ,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,,,,,,,,,,,,,,,,,,,,,
,,Average training hours per Male,,,,,,,,,,,,,,,,,,,,,,
,,Average training hours per Female,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 413-1,Centres with community investment plans,,,,,,,,,,,,,,,,,,,,,,
,,,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,
,,Percentage of centres with community investment plans in place,0.89,1,0.78,0%1,0.7,,Completed By sustainability team ,,,,,,,,,,,,,,,
,,"1 Due to COVID-19 and a restructure of our marketing team, no Community Investment Plans were completed in FY21, plans to update these into our new Vision Stategy Action Plans are underway for FY22",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Sustainability engagement,,,,,,,,,,,,,,,,,,,,,,
,Non-GRI,,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,
,,Employee participation in volunteering,0.09,0.09,0.035,0.04,0.0221,,Completed By sustainability team ,,,,,,,,,,,,,,,
,,Employee participation in work place giving1,0.025,0.027,18%2,0.024,0.024,,Completed By sustainability team ,,,,,,,,,,,,,,,
,,Sustainability engagement,0.74,0.79,n/a3,0.73,0.65,,Completed By sustainability team ,,,,,,,,,,,,,,,
,,"1 - Number of recurring donors
2 - Increase primarily a result of bushfire appeal set up in January 2020, which resulted in strong employee participation",,,,,,,,,,,,,,,,,,,,,,
,,"3 -  Due to COVID-19, a full engagement survey was not completed in FY20",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Non-GRI,Community investment ('000 AUD),,,ASSET,TYPE ,VALUATION,CAP RATE,,,,,,,,,,,,,,,,
,,,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
,,Total1,1772,3701,4362,3119,5568,3151,2910,,Completed By sustainability team ,,,,,,,,,,,,,
,,By type,,,,,,,,,,,,,,,,,,,,,,
,,Cash,435.4,622.2,979.6,479,1518,1606,1064,,,,,,,,,,,,,,,
,,Time and in-kind,62.43,157.9,320.8,174,285,58,94,,,,,,,,,,,,,,,
,,Management costs,783.6,849.3,873.3,608,946,573,736,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Leverage,491,276,379,385,426,107,225,,,,,,,,,,,,,,,
,,Foregone revenue,0,1796,1809,1474,2393,807,791,,,,,,,,,,,,,,,
,,1 – The total community investment spend has been calculated using the Business for Societal Impact (formerly London Benchmarking Group) framework.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Non-GRI,Employee engagement,,,,,,,,,,,,,,,,,,,,,,
,,Category,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
,,Employee engagement score,66,71,73,68,64*,61,68,,,,,,,,,,,,,,,
,,Response rate,80,89,86,85,43,75,78,,,,,,,,,,,,,,,
,,*The FY20 employee engagement score was sourced as part of an unattributed COVID-19 pulse survey open for four business days during which time 67% of the employee population was either partially or fully stood down.,,,,,,,,,,,,,,,,,,,,,,
