PLANET,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Oakleigh Central,VIC,4,5,4,4474,309,51,825,4414,60,10844,0.75,93,414,0.82
QueensPlaza,QLD,4,Exempt,Exempt,11541,192,-,2340,5643,39,54148,0.9,213,317,0.6
Queen Victoria Building,NSW,3,3.5,3,19261,1256,275,2822,3853,202,39576,2.58,440,225,0.34
Rockingham Centre,WA,4,5,3.5,8504,130,-,1205,7447,18,48016,0.74,495,448,0.48
Roselands,NSW,3,4.5,2,14838,207,-,3009,7840,42,83025,1.16,544,1237,0.69
Roxburgh Village,VIC,4,4.5,3,4615,105,53,847,5288,20,21479,0.49,330,388,0.54
Sunshine Marketplace,VIC,4,4.5,5,4199,110,-,992,3080,26,26752,0.7,267,149,0.36
Taigum Square,QLD,4,6,3.5,3455,146,-,701,3184,30,21415,0.9,146,129,0.47
The Galeries,NSW,3,Exempt,Exempt,23905,1488,208,4141,3770,271,45570,2.84,661,409,0.38
The Glen,VIC,3,3.5,0,48855,622,1030,6814,15417,100,127334,1.62,1266,1115,0.47
The Strand Arcade,NSW,4,Exempt,Exempt,1360,215,-,276,27,44,3068,0.49,-,-,0
Uptown1,QLD,4,4,4.5,17114,148,1,3467,10037,30,157773,1.36,528,510,0.49
Victoria Gardens Shopping Centre,VIC,3,4.5,4.5,10659,273,92,2097,5074,56,34024,0.87,486,333,0.41
Victoria Park Central,WA,4,6,0,773,132,1,107,559,18,10173,1.73,70,57,0.45
Warriewood Square,NSW,4,5,3.5,3051,98,1,616,5607,20,28123,0.91,201,220,0.52
Warwick Grove,WA,4,4.5,4,4782,145,4,667,3621,20,23166,0.7,156,143,0.48
Whitsunday Plaza,QLD,4,5.5,5,3681,162,-,746,2075,33,3951,0.17,94,84,0.47
Total,,,,,680332,15443,5985,114438,308217,2795,2299735,52.25,22538,23404,0.509424927081973
1.  Formerly The Myer Centre Brisbane.,,,,,,,,,,,,,,,
