Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Focus on our people,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
85,,GRI 401-3,Return to work and retention rate after parental leave,,,,,,,,,,,,,,,,,,,,,,
86,,,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,,,
87,,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,,,
88,,,Employees entitled to parental leave,487,689,402,598,432,611,441,624,397,557,451,654,,,,,,,,,,
89,,,Employees that took parental leave,6,42,15,42,13,58,25,69,17,55,21,42,,,,,,,,,,
90,,,Employees who returned to work in the reporting period after parental leave ended,6,48,15,23,14,29,26,38,14,25,16,24,,,,,,,,,,
91,,,Employees who returned to work after parental leave ended in the previous financial year,6,29,6,48,15,23,14,29,26,38,14,25,,,,,,,,,,
92,,,Employees who returned to work after parental leave ended who were still employed 12 months after their return,5,26,5,27,9,22,9,25,15,29,16,24,,,,,,,,,,
93,,,Return to work rate1,1,1,1,0.55,0.93,0.67,2,0.66,0.56,0.36,0.9411764705882353,0.43636363636363634,,,,,,,,,,
94,,,Retention rate,0.83,0.9,0.83,0.56,0.6,0.9565217391304348,0.64,0.86,0.58,0.76,114%*,0.96,,,,,,,,,,
95,,,1 - The number of employees who returned to work in the reporting period after parental leave ended as a proportion of employees that took parental leave and are due to return\n* - This exceeds 100% as we had more male employees return to work after parental leave in FY22 than we did in the prior FY reporting period,,,,,,,,,,,,,,,,,,,,,,
