Unnamed: 0,PEOPLE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
125,Category1,Remuneration,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,,,,,,,,,,,
126,ELT2,86,0.99,0.95,0.78,0.85,1.02,1.04,0.78,0.87,0.8,0.88,,,,,,,,,,,
127,Senior Leaders/Business Leadership Team3,77,0.8,0.84,0.79,0.83,0.82,0.87,0.87,0.89,0.7,0.79,,,,,,,,,,,
128,Team Members,70,0.75,0.77,0.7,0.73,0.7,0.73,0.71,0.74,0.72,0.75,,,,,,,,,,,
129,1. The employment categories presented in this table are broad and incorporate a number of different roles to calculate an average ratio. Vicinity has changed the definitions of the employment categories for this indicator and therefore has reinstated all data for the past three years.\n2. ELT includes all employees on the ELT excluding the CEO and Key Management Personnel (KMP).\n3. Senior Leaders updated in FY23 to include whole Business Leadership Team (BLT) cateory as per Workday.,,,,,,,,,,,,,,,,,,,,,,
131,\n1 - The employment categories presented in this table are broad and incorporate a number of different roles to calculate an average ratio.\n2 - Executive Committee includes all employees on the Executive Committee excluding the CEO and KMP. \n3 - Senior Leaders updated in FY23 to include whole BLT category as per Workday\n4 - Vicinity has changed the definitions of the employment categories for this indicator and therefore has reinstated all data for the past three years.\n\n* Please exclude the CEO and KMP. Include other EC members.,,,,,,,,,,,,,,,,,,,,,,
132,"GRI 404-3 - Percentage of employees who received performance reviews, by gender and by employee category",,,,,,,,,,,,,,,,,,,,,,
133,,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,
134,Male,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
135,Female,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
136,ELT1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
137,Other Executives/General Managers,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
138,Senior Leaders/BLT,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
139,Other Managers,-,-,-,-,-,-,1,,,,,,,,,,,,,,,
140,Team Members,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
142,Category,Number of fixed-term and permanent employees who received performance reviews,Number of permanent employees in the category,Percentage of all employees out of permanent employees who received performance reviews,Percentage of permanent employees out of all employees who received performance reviews,Percentage of permanent employees who received performance review,,,,,,,,,,,,,,,,,
143,Total permanent employees,1197,1136,1.0536971830985915,0.9490392648287385,1,,,,,,,,,,,,,,,,,
144,Male,471,447,1.0536912751677852,0.9490445859872612,1,,,,,,,,,,,,,,,,,
145,Female,726,689,1.053701015965167,0.9490358126721763,1,,,,,,,,,,,,,,,,,
146,ELT1,6,6,1,1,1,,,,,,,,,,,,,,,,,
147,Senior Managers/BLT,87,87,1,1,1,,,,,,,,,,,,,,,,,
148,Other Managers,293,286,1.0244755244755244,0.9761092150170648,1,,,,,,,,,,,,,,,,,
149,Team Members,800,746,1.0723860589812333,0.9325,1,,,,,,,,,,,,,,,,,
150,1. Excludes the CEO and KMP. Includes other ELT members. \n**Our people: All other employees,,,,,,,,,,,,,,,,,,,,,,
153,GRI 403-9 - Absentee rate for employees and internal contractors,,,,,,,,,,,,,,,,,,,,,,
154,,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
155,Absentee rate1,1.31,1.57,1.93,1.87,1.65,1.43,1.88,2.12,,,,,,,,,,,,,,
156,"1. Percentage of days lost as a result of absences. Absentee rate for FY16 only covered half the year (from 1 January to 30 June 2016). Therefore, the increase in the absentee rate is due to improved data capture from FY17 onwards.",,,,,,,,,,,,,,,,,,,,,,
159,GRI 403-9 - Injury performance indicators for employees and internal contractors,,,,,,,,,,,,,,,,,,,,,,
160,,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
161,Lost Time Injury Frequency Rate1,3.31,2.4,See note 3,See note 3,See note 3,0.52,0.53,5.64,,,,,,,,,,,,,,
162,Total Recordable Injury Frequency Rate2,5.67,3.84,,,,1.57,0.53,6.67,,,,,,,,,,,,,,
163,Fatalities,-,-,,,,-,-,-,,,,,,,,,,,,,,
164,"Definitions:\nA Lost Time Injury (LTI) is an occurrence that resulted in a fatality, permanent disability or time lost from work of one day/shift or more. Medical Treatment Injury (MTI) is a work related injury or illness requiring or receiving medical or hospital treatment.\n1. The number of LTIs for each million hours worked over a 12 month rolling period. \n2. The number of LTIs and MTIs for each million hours worked over a 12 month rolling period. \n3. Vicinity has extremely low injury rates with our workforce, which has made it difficult to identify further meaningful improvement opportunities. Given these low injury rates, Vicinity has determined that we will no longer report injury performance indicators in our annual sustainability reporting, but will resume reporting if there is a material increase, and will continue to monitor our performance internally to ensure the effectiveness of our safety practices is maintained.",,,,,,,,,,,,,,,,,,,,,,
167,GRI 404-1 - Average hours of training,,,,,,,,,,,,,,,,,,,,,,
168,,Board,CEO and ELT,Other Executives/ General Managers,Senior Managers/BLT,Other Managers,Team Members,Average hours per employee,,,,,,,,,,,,,,,
169,Average hours of training per employee1,-,1.79,1.07,3.14,2.76,2.37,2.81,,,,,,,,,,,,,,,
170,Gender,,,,,,,,,,,,,,,,,,,,,,
171,Average training hours per Male,-,1.82,1.4,1.81,2.24,2.8,2.51,,,,,,,,,,,,,,,
172,Average training hours per Female,-,1.73,0.73,3.43,4.01,2.74,3,,,,,,,,,,,,,,,
173,1. Excluding the Board.,,,,,,,,,,,,,,,,,,,,,,
176,Non-GRI - Sustainability engagement,,,,,,,,,,,,,,,,,,,,,,
177,,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,
178,Employee participation in volunteering,0.09,0.09,0.035,0.04,0.0221,0.076,,,,,,,,,,,,,,,,
179,Employee participation in work place giving1,0.025,0.027,18%2,0.024,0.024,7.25%4\n60%5,,,,,,,,,,,,,,,,
180,Sustainability engagement,0.74,0.79,n/a3,0.73,0.65,0.65,,,,,,,,,,,,,,,,
181,"1. Total number of individual donors.\n2. Increase primarily a result of bushfire appeal set up in January 2020, which resulted in strong employee participation.\n3. Due to COVID-19, a full engagement survey was not completed in FY20.\n4. The participation rate excluding employees contributing to seed funding of Vicinity Cares Program (launched April 2023).\n5. The participation rate including employees dcontributing seed funding to Vicinity Cares Program (launched April 2023).",,,,,,,,,,,,,,,,,,,,,,
185,Non-GRI - Employee engagement,,,,,,,,,,,,,,,,,,,,,,
186,,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
187,Employee engagement score,66,71,73,68,641,61,68,66,,,,,,,,,,,,,,
188,Response rate,80,89,86,85,43,75,78,81,,,,,,,,,,,,,,
