Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Focus on our people,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
154,,,Total Recordable Injury Frequency Rate2,5.67,3.84,,,,1.57,0.53,,,,,,,,,,,,,,,
155,,,Fatalities,0,0,,,,0,0,,,,,,,,,,,,,,,
156,,,"Definitions: \nA Lost Time Injury (LTI) is an occurrence that resulted in a fatality, permanent disability or time lost from work of one day/shift or more. \nMedical Treatment Injury (MTI) is a work related injury or illness requiring or receiving medical or hospital treatment. \n\n1 - The number of LTIs for each million hours worked over a 12 month rolling period. \n2 - The number of LTIs and MTIs for each million hours worked over a 12 month rolling period. \n3 - Vicinity has extremely low injury rates with our workforce, which has made it difficult to identify further meaningful improvement opportunities. Given these low injury rates, Vicinity has determined that we will no longer report injury performance indicators in our annual sustainability reporting, but will resume reporting if there is a material increase, and will continue to monitor our performance internally to ensure the effectiveness of our safety practices is maintained.\n",,,,,,,,,,,,,,,,,,,,,,
158,,GRI 404-1,Category,Board,EC + CEO,Other Executive / GM\n(Senior Leader category),Senior Managers\n(People Leader category),Other Managers,Our People\n(Team Member category),Average hours per employee\n(excl. Board),,,,,,,,,,,,,,,
159,,,Average Hours of training per employee category,,,,,,,,,,,,,,,,,,,,,,
160,,,Gender,,,,,,,,,,,,,,,,,,,,,,
161,,,Average training hours per Male,,,,,,,,,,,,,,,,,,,,,,
162,,,Average training hours per Female,,,,,,,,,,,,,,,,,,,,,,
166,,GRI 413-1,Centres with community investment plans,,,,,,,,,,,,,,,,,,,,,,
167,,,,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,
168,,,Percentage of centres with community investment plans in place,0.89,1,0.78,0%1,0.7,,Completed By sustainability team,,,,,,,,,,,,,,,
169,,,"1 Due to COVID-19 and a restructure of our marketing team, no Community Investment Plans were completed in FY21, plans to update these into our new Vision Stategy Action Plans are underway for FY22",,,,,,,,,,,,,,,,,,,,,,
171,,,Sustainability engagement,,,,,,,,,,,,,,,,,,,,,,
172,,Non-GRI,,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,
173,,,Employee participation in volunteering,0.09,0.09,0.035,0.04,0.0221,,Completed By sustainability team,,,,,,,,,,,,,,,
174,,,Employee participation in work place giving1,0.025,0.027,18%2,0.024,0.024,,Completed By sustainability team,,,,,,,,,,,,,,,
175,,,Sustainability engagement,0.74,0.79,n/a3,0.73,0.65,,Completed By sustainability team,,,,,,,,,,,,,,,
176,,,"1 - Number of recurring donors\n2 - Increase primarily a result of bushfire appeal set up in January 2020, which resulted in strong employee participation",,,,,,,,,,,,,,,,,,,,,,
177,,,"3 - Due to COVID-19, a full engagement survey was not completed in FY20",,,,,,,,,,,,,,,,,,,,,,
180,,Non-GRI,Community investment ('000 AUD),,,ASSET,TYPE,VALUATION,CAP RATE,,,,,,,,,,,,,,,,
181,,,,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
182,,,Total1,1772,3701,4362,3119,5568,3151,2910,,Completed By sustainability team,,,,,,,,,,,,,
183,,,By type,,,,,,,,,,,,,,,,,,,,,,
184,,,Cash,435.4,622.2,979.6,479,1518,1606,1064,,,,,,,,,,,,,,,
185,,,Time and in-kind,62.43,157.9,320.8,174,285,58,94,,,,,,,,,,,,,,,
186,,,Management costs,783.6,849.3,873.3,608,946,573,736,,,,,,,,,,,,,,,
188,,,Leverage,491,276,379,385,426,107,225,,,,,,,,,,,,,,,
189,,,Foregone revenue,0,1796,1809,1474,2393,807,791,,,,,,,,,,,,,,,
190,,,1 Ã¢ÂÂ The total community investment spend has been calculated using the Business for Societal Impact (formerly London Benchmarking Group) framework.,,,,,,,,,,,,,,,,,,,,,,
193,,Non-GRI,Employee engagement,,,,,,,,,,,,,,,,,,,,,,
194,,,Category,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
195,,,Employee engagement score,66,71,73,68,64*,61,68,,,,,,,,,,,,,,,
196,,,Response rate,80,89,86,85,43,75,78,,,,,,,,,,,,,,,
197,,,*The FY20 employee engagement score was sourced as part of an unattributed COVID-19 pulse survey open for four business days during which time 67% of the employee population was either partially or fully stood down.,,,,,,,,,,,,,,,,,,,,,,
