PEOPLE ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
VIC,-,-,-,-,-,-,-,-,-,-,133,0.17,204,0.24,232,0.2719812426729191,,,,,,
WA,-,-,-,-,-,-,-,-,-,-,25,0.21,24,0.21,35,0.3125,,,,,,
Group total,295,0.23,272,0.21,266,0.20121951219512196,269,0.1985239852398524,184,0.14,228,0.18,304,0.24,357,0.27335375191424194,,,,,,
"1.  The number of new hires in each category as a proportion of employees in that category from the above table (i.e. new hire females/total employed females).
2.  FY21 is the first year we are reporting this indicator by region.
2 - FY21 is the first year we are reporting this indicator by region",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GRI 401-1 - Turnover1,,,,,,,,,,,,,,,,,,,,,,
,FY16,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,
By gender,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,,,,,,
Male,154,0.3,127,0.24,108,0.2033898305084746,96,0.17235188509874327,98,0.18,112,0.23,113,0.23,141,0.2781065088757396,,,,,,
Female,223,0.29,191,0.24,164,0.20998719590268886,139,0.17418546365914786,140,0.18,180,0.24,186,0.25,178,0.2227784730913642,,,,,,
Not Declared,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,
By age,,,,,,,,,,,,,,,,,,,,,,
Under 30,62,0.31,62,0.32,62,0.3583815028901734,53,0.26108374384236455,49,0.26,48,0.27,78,0.4406779661016949,89,0.48633879781420764,,,,,,
30-50,234,0.28,188,0.22,151,0.1794871794871795,136,0.162874251497006,137,0.17,172,0.23,156,0.21066846725185687,170,0.21437578814627994,,,,,,
Over 50,81,0.28,68,0.25,59,0.18,46,0.14511041009463724,52,0.17,72,0.22,65,0.19519519519519518,62,0.18787878787878787,,,,,,
By state2,,,,,,,,,,,,,,,,,,,,,,
ACT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
NSW,-,-,-,-,-,-,-,-,-,-,51,0.31,56,0.35,40,0.23121387283236994,,,,,,
QLD,-,-,-,-,-,-,-,-,-,-,35,0.33,29,0.31,17,0.1574074074074074,,,,,,
SA,-,-,-,-,-,-,-,-,-,-,14,0.3,7,0.15,14,0.2978723404255319,,,,,,
TAS,-,-,-,-,-,-,-,-,-,-,3,0.19,5,0.36,5,0.38461538461538464,,,,,,
VIC,-,-,-,-,-,-,-,-,-,-,150,0.19,175,0.21,209,0.24501758499413834,,,,,,
WA,-,-,-,-,-,-,-,-,-,-,39,0.33,27,0.24,36,0.32142857142857145,,,,,,
Group total,377,0.29,318,0.24,272,0.2073170731707317,235,0.17343173431734318,238,0.18,292,0.23,299,0.26,321,0.24578866768759572,,,,,,
"1.  The number of employee exits (voluntary and involuntary) in each category as a proportion of employees in that category.
2.  FY21 is the first year we are reporting this indicator by region. Fixed-term employees are excluded from the terminations/turnover calculations as they exited as planned due to the end of their fixed-term contract.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GRI 401-3 - Return to work and retention rate after parental leave,,,,,,,,,,,,,,,,,,,,,,
,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,,,
,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,,,
Employees entitled to parental leave,487,689,402,598,432,611,441,624,397,557,451,654,447,689,,,,,,,,
Employees that took parental leave,6,42,15,42,13,58,25,69,17,55,21,42,27,62,,,,,,,,
Employees who returned to work in the reporting period after parental leave ended,6,48,15,23,14,29,26,38,14,25,16,24,23,34,,,,,,,,
Employees who returned to work after parental leave ended in the previous financial year,6,29,6,48,15,23,14,29,26,38,14,25,16,24,,,,,,,,
Employees who returned to work after parental leave ended who were still employed 12 months after their return,5,26,5,27,9,22,9,25,15,29,16,24,14,50,,,,,,,,
Return to work rate1,1,1,1,0.55,0.93,0.67,2,0.66,0.56,0.36,0.9411764705882353,0.43636363636363634,1.0952380952380953,0.8095238095238095,,,,,,,,
Retention rate,0.83,0.9,0.83,0.56,0.6,0.9565217391304348,0.64,0.86,0.58,0.76,1.14,0.96,0.875,2.0833333333333335,,,,,,,,
1.  The number of employees who returned to work in the reporting period after parental leave ended as a proportion of employees that took parental leave and are due to return. Some numbers exceed 100% as we had more employees return to work after parental leave in this FY than we did in the prior FY reporting period.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GRI 405-1 - Gender diversity,,,,,,,,,,,,,,,,,,,,,,
,FY16,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,
Category,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,
Board,0.73,0.27,0.7,0.3,0.6699999999999999,0.33,0.63,0.37,0.75,0.25,0.75,0.25,0.71,0.29,0.67,0.33,,,,,,
Executive Leadership Team,0.78,0.22,0.67,0.33,0.6699999999999999,0.33,0.7,0.3,0.67,0.33,0.67,0.33,0.6,0.4,0.62,0.38,,,,,,
"Other Executives and General Managers1,5",0.63,0.37,0.66,0.34,0.6699999999999999,0.33,0.74,0.26,0.76,0.24,0.77,0.23,0.8,0.2,-,-,,,,,,
"Senior Managers/Business Leadership Team2,5",0.7,0.3,0.62,0.38,0.63,0.37,0.45,0.55,0.67,0.33,0.62,0.38,0.62,0.38,0.66,0.34,,,,,,
"Other Managers3,5",-,-,-,-,-,-,-,-,0.46,0.54,0.4,0.6,0.43,0.57,0.49,0.51,,,,,,
"Team Members4,5",0.32,0.68,0.33,0.67,0.32999999999999996,0.67,0.36,0.64,0.34,0.66,0.32,0.68,0.35,0.65,0.32,0.68,,,,,,
Group ,0.4038910505836576,0.596108949416342,0.4,0.6,0.4,0.6,0.41,0.59,0.4,0.6,0.39,0.61,0.4,0.6,0.39,0.61,,,,,,
"1. Other Executives and General Managers WGEA category. As of FY23 the only employees with this WGEA category are the Executive Leadership Team (ELT), who are in their own category. 
2. Senior Managers WGEA category.
3. Other Managers WGEA category - FY20 is the first year we have reported on this category.
4. Non-manager (all other) WGEA categories.
5. The FY22 data for all categories other than the Board and ELT has been restated to align with the FY23 categories.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GRI 405-1 - Age diversity,,,,,,,,,,,,,,,,,,,,,,
,FY17,,,FY18,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,
Category,<30,30-50,50>,<30,30-50,50>,<30,30-50,50>,<30,30-51,50>,<30,30-51,50>,<30,30-50,50>,<30,30-50,50>,
Board,-,-,1,-,-,1,-,-,1, - , - ,1, - , - ,1,-,-,1,-,-,1,
ELT,-,0.67,0.33,-,0.44,0.56,-,0.5,0.5, - ,0.5,0.5, - ,0.3,0.6,-,0.4,0.6,-,0.25,0.75,
Other Executives and General Managers1,-,0.86,0.14,-,0.78,0.22,-,0.68,0.32, - ,0.69,0.31, - ,0.46,0.54,-,0.55,0.45,-,-,-,
Senior Managers/Business Leadership Team2,0.01,0.85,0.14,0.07,0.73,0.2,0.08,0.71,0.21,0.01,0.83,0.16,0.05,0.69,0.26,0.05,0.68,0.27,-,0.74,0.26,
Other Managers3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,0.71,0.27,
Team Members4,0.16,0.62,0.21,0.19,0.58,0.23,0.21,0.55,0.24,0.18,0.58,0.24,0.21,0.55,0.25,0.21,0.54,0.25,0.19,0.57,0.24,
Group ,0.15,0.65,0.21,0.13,0.65,0.22,0.15,0.62,0.23,0.14,0.62,0.24,0.14,0.6,0.26,0.14,0.59,0.27,0.14,0.61,0.25,
"1.  Other Executives and General Managers WGEA category. As of FY23 the only employees with this WGEA category are the ELT, who are in their own category.
2.  Senior Managers WGEA category.
3.  Other Managers WGEA category (reported since FY23).
4.  Non-manager (all other) WGEA categories.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GRI 405-2 - Percentage of remuneration from women to men ,,,,,,,,,,,,,,,,,,,,,,
 ,FY18,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,,,,,,
Category1,Remuneration,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,,,,,,,,,,,
ELT2,86,0.99,0.95,0.78,0.85,1.02,1.04,0.78,0.87,0.8,0.88,,,,,,,,,,,
Senior Leaders/Business Leadership Team3,77,0.8,0.84,0.79,0.83,0.82,0.87,0.87,0.89,0.7,0.79,,,,,,,,,,,
Team Members,70,0.75,0.77,0.7,0.73,0.7,0.73,0.71,0.74,0.72,0.75,,,,,,,,,,,
"1.  The employment categories presented in this table are broad and incorporate a number of different roles to calculate an average ratio. Vicinity has changed the definitions of the employment categories for this indicator and therefore has reinstated all data for the past three years.
2.  ELT includes all employees on the ELT excluding the CEO and Key Management Personnel (KMP).
3.  Senior Leaders updated in FY23 to include whole Business Leadership Team (BLT) cateory as per Workday.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"
1 - The employment categories presented in this table are broad and incorporate a number of different roles to calculate an average ratio.
2 - Executive Committee includes all employees on the Executive Committee excluding the CEO and KMP. 
3 - Senior Leaders updated in FY23 to include whole BLT category as per Workday
4 - Vicinity has changed the definitions of the employment categories for this indicator and therefore has reinstated all data for the past three years.

* Please exclude the CEO and KMP. Include other EC members. ",,,,,,,,,,,,,,,,,,,,,,
"GRI 404-3 - Percentage of employees who received performance reviews, by gender and by employee category",,,,,,,,,,,,,,,,,,,,,,
,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,
Male,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Female,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
ELT1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Other Executives/General Managers,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
Senior Leaders/BLT,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Other Managers,-,-,-,-,-,-,1,,,,,,,,,,,,,,,
Team Members,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Category,Number of fixed-term and permanent employees who received performance reviews,Number of permanent employees in the category,Percentage of all employees out of permanent employees who received performance reviews,Percentage of permanent employees out of all employees who received performance reviews,Percentage of permanent employees who received performance review,,,,,,,,,,,,,,,,,
Total permanent employees,1197,1136,1.0536971830985915,0.9490392648287385,1,,,,,,,,,,,,,,,,,
Male,471,447,1.0536912751677852,0.9490445859872612,1,,,,,,,,,,,,,,,,,
Female,726,689,1.053701015965167,0.9490358126721763,1,,,,,,,,,,,,,,,,,
ELT1,6,6,1,1,1,,,,,,,,,,,,,,,,,
Senior Managers/BLT,87,87,1,1,1,,,,,,,,,,,,,,,,,
Other Managers,293,286,1.0244755244755244,0.9761092150170648,1,,,,,,,,,,,,,,,,,
Team Members,800,746,1.0723860589812333,0.9325,1,,,,,,,,,,,,,,,,,
"1.  Excludes the CEO and KMP. Includes other ELT members. 
**Our people: All other employees ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GRI 403-9 - Absentee rate for employees and internal contractors,,,,,,,,,,,,,,,,,,,,,,
,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
Absentee rate1,1.31,1.57,1.93,1.87,1.65,1.43,1.88,2.12,,,,,,,,,,,,,,
"1.  Percentage of days lost as a result of absences. Absentee rate for FY16 only covered half the year (from 1 January to 30 June 2016). Therefore, the increase in the absentee rate is due to improved data capture from FY17 onwards.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GRI 403-9 - Injury performance indicators for employees and internal contractors,,,,,,,,,,,,,,,,,,,,,,
,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
Lost Time Injury Frequency Rate1,3.31,2.4,See note 3,See note 3,See note 3,0.52,0.53,5.64,,,,,,,,,,,,,,
Total Recordable Injury Frequency Rate2,5.67,3.84,,,,1.57,0.53,6.67,,,,,,,,,,,,,,
Fatalities,-,-,,,,-,-,-,,,,,,,,,,,,,,
"Definitions:
A Lost Time Injury (LTI) is an occurrence that resulted in a fatality, permanent disability or time lost from work of one day/shift or more. Medical Treatment Injury (MTI) is a work related injury or illness requiring or receiving medical or hospital treatment.
1.  The number of LTIs for each million hours worked over a 12 month rolling period. 
2.  The number of LTIs and MTIs for each million hours worked over a 12 month rolling period. 
3.  Vicinity has extremely low injury rates with our workforce, which has made it difficult to identify further meaningful improvement opportunities. Given these low injury rates, Vicinity has determined that we will no longer report injury performance indicators in our annual sustainability reporting, but will resume reporting if there is a material increase, and will continue to monitor our performance internally to ensure the effectiveness of our safety practices is maintained.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GRI 404-1 - Average hours of training ,,,,,,,,,,,,,,,,,,,,,,
,Board,CEO and ELT,Other Executives/ General Managers,Senior Managers/BLT,Other Managers,Team Members,Average hours per employee,,,,,,,,,,,,,,,
Average hours of training per employee1,-,1.79,1.07,3.14,2.76,2.37,2.81,,,,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,,,,,,
Average training hours per Male,-,1.82,1.4,1.81,2.24,2.8,2.51,,,,,,,,,,,,,,,
Average training hours per Female,-,1.73,0.73,3.43,4.01,2.74,3,,,,,,,,,,,,,,,
1.  Excluding the Board.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Non-GRI - Sustainability engagement,,,,,,,,,,,,,,,,,,,,,,
,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,
Employee participation in volunteering,0.09,0.09,0.035,0.04,0.0221,0.076,,,,,,,,,,,,,,,,
Employee participation in work place giving1,0.025,0.027,18%2,0.024,0.024,"7.25%4
60%5",,,,,,,,,,,,,,,,
Sustainability engagement,0.74,0.79,n/a3,0.73,0.65,0.65,,,,,,,,,,,,,,,,
"1.  Total number of individual donors.
2.  Increase primarily a result of bushfire appeal set up in January 2020, which resulted in strong employee participation.
3.  Due to COVID-19, a full engagement survey was not completed in FY20.
4.  The participation rate excluding employees contributing to seed funding of Vicinity Cares Program (launched April 2023).
5.  The participation rate including employees dcontributing seed funding to Vicinity Cares Program (launched April 2023).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Non-GRI - Employee engagement,,,,,,,,,,,,,,,,,,,,,,
,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
Employee engagement score,66,71,73,68,641,61,68,66,,,,,,,,,,,,,,
Response rate,80,89,86,85,43,75,78,81,,,,,,,,,,,,,,
1.  The FY20 employee engagement score was sourced as part of an unattributed COVID-19 pulse survey open for four business days during which time 67% of the employee population was either partially or fully stood down.,,,,,,,,,,,,,,,,,,,,,,
